County/Sub County,Farming,Maize,Sorghum,Rice,Potatoes,Beans,Cassava,Sweet Potatoes,Wheat,Green grams,Bananas,Cabbages,Tomatoes,Onions,Ground Nuts,Millet,Watermelons,Kales,Sugarcane,Cotton
ENDEBESS,"16,775","14,936","1,591","-2,818","11,555",831,"1,698",196,145,"4,196","1,055","2,130",979,99,"1,547",,"3,922",310,,
KIMININI,"34,511","30,253","2,034","-    2,652","21,296","4,460","8,611",495,381,"18,416","1,775","1,731","1,836","1,272","2,010",,"12,525","3,910",,
UASIN GISHU,"141,547","126,577","8,982","-    23,950","67,257","2,675","10,382","8,148",,"21,501","12,737","9,092","16,729",,"15,684",,"46,064","4,704",,
AINABKOI,"17,845","15,828",743,"-    6,235","8,536",125,900,"1,254",,"1,494","2,495","1,137","3,143",,"1,908",,"6,450",266,,
KAPSERET,"16,891","13,839",741,"-    1,983","6,530",324,"1,237",378,,"3,103","1,331","1,218","2,048",,642,,"6,079",690,,
KESSES,"24,309","22,229","1,332","-    8,846","12,119",184,"1,411",754,,"3,275","3,946","1,350","5,395",,"1,283",,"9,885",523,,
MOIBEN,"22,915","20,805","2,128","-    3,635","12,677",234,"1,456","3,673",,"2,461","2,085","1,866","2,205",,"6,591",,"6,999",515,,
SOY,"33,352","30,817","2,259","-    1,764","15,491",689,"2,845","1,658",,"5,141","1,744","2,003","1,870",,"3,382",,"8,758",646,,
TURBO,"26,235","23,059","1,779","-    1,487","11,904","1,119","2,533",431,,"6,027","1,136","1,518","2,068",,"1,878",,"7,893","2,064",,
ELGEYO/MARAKWET,"74,881","62,633","9,624","-    27,205","39,126","2,276","4,123","1,369","1,744","12,325","10,555","4,105","13,775","1,772","20,353",548,"22,876","2,021",,
KEIYO NORTH,"15,190","13,527","1,612","-    3,018","9,650",199,791,648,223,"2,011","1,223",934,"1,346",83,"4,971",87,"3,671",253,,
KEIYO SOUTH,"21,518","18,562","2,052","-    8,789","11,723",682,"1,443",285,484,"3,660","4,234","1,045","5,207","1,061","4,870",123,"7,646",305,,
MARAKWET EAST,"15,779","11,779","3,887","-    4,840","6,388","1,186",935,194,835,"2,875","1,498","1,160","2,231",535,"5,590",225,"3,840",705,,
MARAKWET WEST,"22,394","18,765","2,073","-    10,558","11,365",209,954,242,202,"3,779","3,600",966,"4,991",93,"4,922",113,"7,719",758,,
NANDI,"148,887","134,408","14,875","-    18,045","79,216","17,146","25,641","1,766",,"68,158","14,764","10,084","32,316","1,343","12,788",,"58,494","22,885",,
CHESUMEI,"26,835","23,735","1,785","-    3,790","11,413","1,437","3,521",261,,"11,721","2,941","1,297","4,512",149,"1,722",,"11,747","3,105",,
NANDI CENTRAL,"23,951","20,895","1,667","-    3,236","11,961","2,319","3,917",217,,"11,458","2,304","1,233","4,997",186,"1,517",,"10,053","3,223",,
NANDI EAST,"16,777","14,873","1,330","-    3,121","9,441",823,"1,860",293,,"6,017","2,296","1,482","4,761",86,"1,030",,"7,044",967,,
NANDI NORTH,"30,073","28,171","3,704","-    3,452","15,124","1,645","3,919",319,,"11,251","3,198","1,697","5,265",268,"3,461",,"9,326","4,739",,
NANDI SOUTH,"31,054","27,508","2,250","-    3,165","18,653","8,551","9,671",249,,"18,816","2,843","1,958","8,390",492,"1,965",,"12,941","4,965",,
TINDERET,"20,197","19,226","4,139","-1,281","12,624","2,371","2,753",427,,"8,895","1,182","2,417","4,391",162,"3,093",,"7,383","5,886",,
BARINGO,"100,465","80,000","13,594","-    12,438","49,579","5,655","7,571","1,310","3,802","18,052","5,585","5,204","11,101","4,242","27,128","1,742","23,812","3,070",,
BARINGO CENTRAL,"15,137","13,463","2,739",-    877,"10,087","1,815","2,185",316,376,"6,131",441,"1,036","1,401","1,609","5,873",120,"4,799",940,,
BARINGO NORTH,"18,409","15,300","3,927","-    1,052","10,260","1,940","1,974",177,"1,161","5,250",433,999,"1,432",808,"10,639",190,"4,096",705,,
EAST POKOT,"9,565","3,931","1,798",-    95,"1,330",77,69,126,363,101,84,185,73,53,"1,114",140,381,80,,
KOIBATEK,"21,544","19,234","1,545","-    9,351","12,917",803,"1,567",275,416,"3,617","4,069","1,192","6,054",264,"3,616",104,"9,339",707,,
MARIGAT,"13,596","11,044","1,391",-    574,"5,507",434,614,151,773,"1,310",188,935,"1,035",299,"2,522",948,"2,355",428,,
MOGOTIO,"13,607","11,524","1,918",-    199,"7,043",537,971,210,397,"1,552",209,503,784,"1,185","3,195",109,"2,118",186,,
TIATY EAST,"8,607","5,504",276,-    290,"2,435",49,191,55,316,91,161,354,322,24,169,131,724,24,,
LAIKIPIA,"90,729","70,534","5,306","-    38,543","53,967","2,671","8,722","3,936","1,781","7,092","7,873","6,415","10,333",,"1,516",740,"17,753","4,706",,
LAIKIPIA CENTRAL,"18,787","14,816","2,719","-    13,179","13,626",505,"2,966",411,506,"1,332","2,518","1,711","4,090",,477,257,"5,196","1,516",,
LAIKIPIA EAST,"13,192","8,911",208,"-    7,815","7,554",305,"1,369",342,421,"1,144","1,017",794,"1,395",,92,79,"2,797",978,,
LAIKIPIA NORTH,"5,898",406,20,-168,399,21,37,13,15,27,35,57,65,,11,13,111,18,,
LAIKIPIA WEST,"24,338","20,245","1,458","-    5,245","14,932",746,"1,921",930,270,"1,121","1,357","1,649","1,665",,378,219,"2,610",647,,
NYAHURURU,"28,514","26,156",901,"-    12,136","17,456","1,094","2,429","2,240",569,"3,468","2,946","2,204","3,118",,558,172,"7,039","1,547",,
NAKURU,"283,652","243,535","9,613","-    140,998","168,112","6,953","16,130","6,021","7,919","32,257","41,413","14,871","65,022",,"13,563",,"114,162","11,097",,
GILGIL,"27,273","23,695",982,"-    15,359","21,481","1,034","2,431",329,815,"3,010","3,034","1,920","6,023",,842,,"9,169","1,790",,
KURESOI NORTH,"33,190","30,713",455,"-    23,145","10,963",80,349,"1,679","1,224","1,441","7,513","1,006","10,380",,"1,608",,"16,861",269,,
KURESOI SOUTH,"28,030","25,349",383,"-    13,872","7,165",82,338,869,820,"2,556","7,452",709,"8,082",,"2,006",,"15,071",511,,
MOLO,"26,641","23,531",556,"-    17,167","13,884",231,514,230,985,"1,826","5,370",789,"7,030",,995,,"11,244",429,,
NAIVASHA,"33,061","23,332",321,"-    17,061","20,884",353,"1,555",283,745,"1,548","4,381","1,850","9,444",,213,,"12,924",978,,
NAKURU EAST,"8,876","5,637",157,"-    2,520","4,448",167,411,171,210,653,739,690,"1,023",,102,,"2,640",277,,
NAKURU NORTH,"28,990","24,972",751,"-    17,040","21,763","1,544","3,217",334,899,"7,952","3,718","2,132","5,821",,396,,"14,113","2,954",,
NAKURU WEST,"8,752","6,573",434,"-    1,347","5,256",148,420,217,125,705,582,632,845,,625,,"2,728",234,,
NJORO,"41,771","36,788","1,019","-    22,196","26,751",414,"1,584","1,252","1,127","2,941","5,230","1,592","9,109",,"2,371",,"13,922","1,016",,
RONGAI,"29,568","26,386","3,207","-    4,022","21,725","1,250","2,671",445,427,"4,627","1,533","2,292","3,777",,"3,271",,"9,197","1,043",,
SUBUKIA,"17,500","16,559","1,348","-    7,269","13,792","1,650","2,640",212,542,"4,998","1,861","1,259","3,488",,"1,134",,"6,293","1,596",,
NAROK,"181,706","136,075","23,325","-    53,966","94,779","2,634","28,542","13,437","4,439","27,875","26,070","17,566","50,324","1,268","14,622","1,302","59,672","18,862",,
NAROK EAST,"19,206","15,197",74,"-    7,917","12,116",99,526,"2,182",803,539,"3,301","1,201","5,393",137,70,145,"4,560",203,,
NAROK NORTH,"35,447","26,210",199,"-    22,506","12,744",179,630,"6,556","1,382",657,"10,032","1,422","14,448",200,201,201,"14,384",332,,
NAROK SOUTH,"40,248","32,036","4,402","-    13,943","26,647",463,"4,407","2,261","1,393","7,903","6,729","5,766","10,892",263,"4,443",254,"12,348","3,921",,
NAROK WEST,"30,259","15,531","5,878","-    2,459","11,761",333,"5,420","1,081",473,"3,484","1,279","2,508","5,786",84,"2,119",112,"5,942","2,369",,
TRANS MARA EAST,"18,907","17,307","8,272","-    3,610","13,083",563,"12,830",487,142,"6,715","1,991","2,976","5,293",121,"2,985",109,"9,404","4,507",,
TRANS MARA WEST,"37,639","29,794","4,500","-    3,531","18,428",997,"4,729",870,246,"8,577","2,738","3,693","8,512",463,"4,804",481,"13,034","7,530",,
MAU FOREST,,,,,,,,,,,,,,,,,,,,
KAJIADO,"97,565","37,686",,"-    12,536","33,885","2,902","4,184",,"1,693","7,029","3,710","10,415","5,801",,,"2,198","12,860","2,270",,
ISINYA,"6,584","2,523",,-    404,"2,174",157,301,,101,537,464,890,896,,,276,"1,490",191,,
KAJIADO CENTRAL,"19,641","4,546",,-    564,"4,191",145,352,,148,490,387,841,632,,,398,"1,007",194,,
KAJIADO NORTH,"10,726","5,704",,"-    2,759","4,811",563,729,,178,"1,730",737,"1,310","1,489",,,135,"4,024",597,,
KAJIADO WEST,"23,089","5,497",,"-    2,496","5,010",478,859,,459,"1,267",504,"1,217","1,310",,,236,"2,334",622,,
LOITOKITOK,"29,501","16,618",,"-6,162","15,089","1,384","1,662",,497,"2,795","1,438","5,672","1,326",,,856,"3,581",615,,
MASHUURU,"8,024","2,798",,-    151,"2,610",175,281,,310,210,180,485,148,,,297,424,51,,
KERICHO,"150,845","132,308","40,485","-    19,794","92,081","6,234","18,375","4,622","1,683","70,784","14,922","13,602","35,701",,"39,536",,"81,493","23,253",,
BELGUT,"23,573","18,946","5,731","-    2,032","11,861",740,"2,250",494,177,"13,457","2,283","1,643","6,748",,"6,385",,"14,310","3,176",,
BURETI,"33,285","26,776","8,122","-    4,325","17,444",937,"5,628",570,452,"19,812","4,134","2,032","7,771",,"7,740",,"21,269","7,819",,
KERICHO EAST,"23,273","19,606","4,168","-    2,526","12,640","1,189","2,314",474,194,"11,849","1,748","2,222","5,487",,"7,070",,"12,130","2,918",,
KIPKELION,"22,836","22,245","8,802","-    2,981","19,284","1,062","2,285","1,518",226,"10,319","2,057","2,553","3,923",,"6,413",,"11,500","1,887",,
LONDIANI,"25,049","23,742","4,408","-    6,670","17,196",168,823,998,419,"3,764","4,075","1,939","5,420",,"3,408",,"11,276",739,,
SOIN SIGOWET,"22,829","20,993","9,254","-1,260","13,656","2,138","5,075",568,215,"11,583",625,"3,213","6,352",,"8,520",,"11,008","6,714",,
BOMET,"152,564","122,998","41,522",,"37,261","106,434","3,939","54,045",,"2,331","78,319","26,613","21,900","47,758",943,"28,681",940,"93,744","40,551",
BOMET EAST,"26,472","22,805","6,498",,"6,545","20,446",629,"10,368",,453,"12,031","4,747","4,123","11,017",199,"4,019",154,"13,802","4,385",
CHEPALUNGU,"31,910","28,697","14,169",,"6,660","25,691","1,036","20,833",,288,"12,660","3,972","5,955","10,168",228,"2,700",334,"20,038","10,184",
KONOIN,"23,845","14,084","3,169",,"3,853","9,161",400,"2,978",,270,"13,084","3,468","1,934","6,315",91,"2,842",86,"14,680","7,131",
SOTIK,"40,497","34,994","10,748",,"10,699","30,378","1,329","13,267",,768,"23,512","7,467","5,120","9,941",238,"11,923",208,"26,060","12,167",
BOMET CENTRAL,"29,840","22,418","6,938",,"9,504","20,758",545,"6,599",,552,"17,032","6,959","4,768","10,317",187,"7,197",158,"19,164","6,684",
KAKAMEGA,"335,269","312,670","24,160",,"26,204","250,047","103,223","146,673",,"9,539","194,940","9,064","16,914","26,940","100,958","16,384","2,208","141,501","92,380",
BUTERE,"29,189","27,134","2,198",,"1,685","22,659","9,775","12,178",,856,"15,582",556,772,"1,890","10,687",959,171,"11,618","3,473",
KAKAMEGA CENTRAL,"25,461","22,353","1,206",,"1,331","16,846","7,107","9,844",,363,"15,276",744,"1,230","2,240","9,742",903,165,"12,646","4,916",
KAKAMEGA EAST,"31,632","29,188",795,,"1,929","24,310","7,001","10,833",,585,"20,403","1,154","1,321","4,052","1,938",412,109,"12,502","7,627",
KAKAMEGA NORTH,"43,441","40,626","2,158",,"3,777","32,356","15,577","24,349",,"1,595","26,992","1,249","3,657","5,533","14,327","1,795",290,"21,564","26,349",
KAKAMEGA SOUTH,"22,218","20,603",845,,727,"17,157","4,989","7,751",,459,"13,898",383,433,"1,824","2,258","1,075",86,"8,066","3,186",
KHWISERO,"23,443","21,852","1,997",,852,"18,067","7,481","10,871",,424,"16,115",422,696,"2,648","9,433","1,380",176,"10,012","2,045",
LIKUYANI,"24,849","23,091","1,331",,"1,557","16,495","2,206","7,798",,277,"9,907",974,"1,376","1,551",456,"1,221",182,"7,921","1,375",
LUGARI,"23,281","22,152","1,793",,"1,862","18,536","3,918","10,186",,449,"14,130",838,"1,542","1,938","2,324","2,310",127,"9,634","4,813",
MATETE,"11,488","10,806",887,,"1,314","8,790","2,654","5,635",,458,"6,456",384,900,"1,003","2,670",804,98,"5,106","6,596",
MATUNGU,"30,321","28,872","4,093",,"3,752","21,894","11,983","12,315",,972,"13,438",575,"1,081",743,"12,769","2,183",246,"8,971","5,348",
MUMIAS EAST,"21,549","20,364","1,729",,"2,211","14,861","9,245","9,828",,750,"12,950",553,871,792,"9,037",771,162,"9,833","6,678",
MUMIAS WEST,"19,375","18,074","3,031",,"1,459","14,036","7,680","8,041",,511,"9,860",271,582,822,"8,081","1,331",101,"7,203","1,937",
NAVAKHOLO,"29,022","27,555","2,097",,"3,748","24,040","13,607","17,044",,"1,840","19,933",961,"2,453","1,904","17,236","1,240",295,"16,425","18,037",
VIHIGA,"113,753","105,807","5,160",,"4,222","89,528","40,867","50,944",,"2,243","84,487","2,308","4,613","11,438","14,238","2,062",,"46,248","25,329",
EMUHAYA,"20,210","18,949","1,243",,671,"15,952","8,014","9,938",,345,"15,553",276,604,"1,454","2,902",559,,"8,444","3,788",
VIHIGA,"18,652","17,479",988,,760,"15,281","7,724","9,811",,628,"14,877",415,"1,035","1,955","5,400",400,,"7,942","5,077",
SABATIA,"25,789","24,235",958,,967,"21,396","8,626","10,280",,562,"19,856",618,777,"2,555",380,318,,"10,952","6,417",
LUANDA,"20,058","18,597","1,178",,713,"14,273","6,315","7,874",,369,"13,598",342,946,"1,514","3,421",431,,"8,030","3,636",
HAMISI,"29,042","26,545",793,,"1,111","22,625","10,188","13,041",,339,"20,603",657,"1,251","3,960","2,135",354,,"10,880","6,411",
KAKAMEGA FOREST,2,2,,,,1,,,,,,,,,,,,,,
BUNGOMA,"280,445","262,063","28,889",,"40,882","222,747","72,760","102,940","7,644","20,851","160,195","11,059","19,364","17,992","93,242","27,667","2,975","96,113","57,105","2,169"
BUMULA,"39,540","38,051","4,807",,"6,096","33,223","16,773","16,223","1,004","1,814","19,850",855,"2,703","1,510","17,551","3,610",645,"11,074","4,496",462
BUNGOMA CENTRAL,"31,835","30,119","4,485",,"4,099","27,450","8,297","12,083","1,241","4,436","20,570",864,"1,723","1,065","17,003","4,904",343,"9,915","5,455",242
BUNGOMA EAST,"19,688","18,256","1,493",,"1,926","14,731","3,953","8,274",595,"1,149","11,893",512,864,746,"6,043","2,087",184,"7,232","7,810",115
BUNGOMA NORTH,"20,848","19,517","1,824",,"1,777","15,116","4,526","7,683",454,693,"12,888",606,825,615,"2,677","1,754",130,"6,828","6,078",94
BUNGOMASOUTH,"41,443","38,314","4,726",,"6,361","31,823","12,916","17,632","1,084","2,372","22,809","1,227","3,173","2,177","17,721","3,707",499,"15,569","12,199",403
CHEPTAIS,"22,457","20,639",975,,"7,171","17,980","2,356","3,228",547,952,"10,749","3,274","3,462","6,569","1,909",485,113,"8,831",697,135
KIMILILI,"25,205","23,336","2,139",,"2,304","19,458","5,118","8,562",547,"1,769","15,762",874,932,786,"6,938","2,002",267,"7,785","3,861",187
MT. ELGON,"12,376","11,157",725,,"4,516","8,908",915,"1,661",215,107,"5,738","1,132",428,"1,638",281,"1,384",60,"3,901",543,47
BUNGOMA WEST,"22,145","21,201","2,853",,"2,344","19,429","6,575","7,261",461,"3,689","13,195",585,"2,824",831,"9,058","2,162",338,"7,965","1,001",236
TONGAREN,"17,578","16,498","1,351",,"1,450","13,273","2,848","6,384",577,289,"9,655",554,849,667,993,"1,605",156,"5,946","1,805",91
WEBUYE WEST,"26,624","24,971","3,511",,"2,836","21,356","8,483","13,949",919,"3,581","17,086",576,"1,581","1,388","13,068","3,967",240,"11,067","13,160",157
MT. ELGON FOREST,706,4,,,2,,,,,,,,,,,,,,,
BUSIA,"148,257","135,790","53,701","2,206","11,163","99,743","71,591","61,973",,"7,815","51,930","2,572","7,945","3,335","49,979","25,825","1,638","29,615","13,949","2,109"
BUNYALA,"12,676","9,683","7,636",969,856,"7,818","2,320","4,834",,632,"1,716",262,"1,075",278,"1,133","1,148",139,"2,081",542,67
BUSIA,"19,412","17,526","7,008",131,"1,595","12,303","7,957","7,931",,768,"6,163",323,612,669,"5,096","2,696",144,"4,271","1,623",135
BUTULA,"26,650","25,235","12,232",189,"2,246","18,400","13,465","12,450",,941,"10,573",423,776,599,"13,314","6,077",177,"5,932","1,850",143
NAMBALE,"19,743","18,550","3,728",190,"2,030","13,547","9,373","8,284",,964,"8,297",389,"1,027",450,"7,043","2,707",249,"4,405","4,580",199
SAMIA,"19,701","18,000","12,364",95,935,"15,426","11,002","10,734",,"1,116","4,160",319,979,494,"6,163","2,375",168,"3,378",717,416
TESO NORTH,"23,180","21,835","4,052",126,"1,499","17,479","11,893","10,092",,"1,763","10,942",509,"1,891",380,"9,374","4,782",320,"5,081",981,721
TESO SOUTH,"26,895","24,961","6,681",506,"2,002","14,770","15,581","7,648",,"1,631","10,079",347,"1,585",465,"7,856","6,040",441,"4,467","3,656",428
SIAYA,"194,362","181,114","99,872","1,310","9,298","132,295","59,310","67,040    -","15,925","60,751","2,906","10,464","10,099","47,293","18,069","1,794","49,344","8,326","3,125",
SIAYA,"44,532","41,256","24,591",602,"2,188","32,778","15,539","18,212 -","2,070","11,557",684,"2,538","2,182","8,777","3,442",406,"11,285","1,704",235,
GEM,"38,224","36,527","13,982",151,"1,719","29,190","14,553","16,761    -",979,"23,395",684,"1,755","3,649","10,747","2,474",264,"15,097","3,212",186,
UGENYA,"27,847","26,465","16,657",216,"2,080","22,578","11,484","12,939    -",957,"10,350",505,841,"1,173","9,013","3,989",198,"6,350","1,218",119,
UGUNJA,"21,054","19,948","9,736",92,"1,093","16,029","7,382","9,404    -",742,"8,398",400,632,"1,302","5,713","2,376",144,"7,122","1,101",112,
BONDO,"32,920","29,263","16,351",141,"1,081","15,715","4,506","4,698    -","3,346","3,437",433,"2,444","1,068","2,748","3,296",462,"5,371",545,218,
RARIEDA,"29,785","27,655","18,555",108,"1,137","16,005","5,846","5,026    -","7,831","3,614",200,"2,254",725,"10,295","2,492",320,"4,119",546,"2,255",
KISUMU,"147,117","126,050","66,687","10,259","8,789","62,434","37,426","30,515    -","22,727","38,295","2,447","13,653","9,675","24,973","14,492","2,037","34,752","17,204","2,174",
KISUMU EAST,"16,348","12,302","5,174",695,696,"5,060","3,666","3,322    -","1,334","3,736",252,"1,245",877,911,"1,432",264,"3,698","1,329",161,
KISUMU CENTRAL,"4,157","1,925",602,195,207,"1,015",487,451    -,219,602,115,440,329,352,346,104,"1,009",414,39,
KISUMU WEST,"23,207","20,287","7,307",141,"1,159","12,046","8,682","7,559    -","1,453","9,943",284,"1,572","1,408","4,735","1,759",203,"6,149","1,126",98,
SEME,"24,014","22,284","13,750",151,"1,587","11,737","9,807","7,040    -","5,537","7,100",398,"1,999","1,193","9,169","3,654",261,"5,457",611,140,
MUHORONI,"26,368","24,021","11,280","3,156","2,645","14,115","6,489","5,931    -","2,993","6,933",632,"2,853","2,456","1,360","2,369",315,"7,053","10,460",345,
NYANDO,"26,570","22,381","15,745","5,410",884,"7,938","2,427","1,868 -","6,985","2,404",366,"2,628",986,"1,016","2,404",550,"4,888","1,690","1,164",
NYAKACH,"26,453","22,850","12,829",511,"1,611","10,523","5,868","4,344    -","4,206","7,577",400,"2,916","2,426","7,430","2,528",340,"6,498","1,574",227,
HOMA BAY,"193,812","179,727","68,877","1,977","21,889","111,932","58,238","47,972    -","16,258","56,152","3,462","15,109","23,022","61,360","18,769","2,532","53,518","25,278","3,263",
HOMA BAY,"16,401","14,776","5,642",99,"1,725","9,772","4,272","3,300    -","1,466","3,994",325,"1,741","2,416","5,257","1,614",315,"5,302","2,270",222,
NDHIWA,"40,976","39,664","8,752",337,"7,601","30,245","14,918","11,860 -","3,376","14,761",869,"2,731","4,692","16,062","2,732",403,"14,267","17,233",328,
RACHUONYO NORTH,"32,414","29,483","16,472",154,"1,673","14,962","7,063","4,294    -","5,872","4,168",350,"2,742","1,340","13,057","4,247",452,"5,679",765,"1,494",
RACHUONYO EAST,"23,388","22,300","7,449",91,"2,606","14,948","8,576","10,275    -",840,"13,021",412,"1,456","3,721","6,550","1,681",161,"8,042","1,419",125,
RACHUONYO SOUTH,"23,419","22,164","6,122",140,"2,608","14,084","7,991","7,969    -",710,"9,752",355,"1,281","3,930","8,186","2,352",224,"7,198",968,152,
RANGWE,"22,145","21,005","7,651",956,"3,273","12,531","9,251","6,651    -","1,420","5,824",576,"1,863","4,123","8,898","2,167",277,"7,448","1,634",494,
SUBA NORTH,"17,645","14,975","8,722",81,782,"7,190","1,731","1,346    -","1,399","2,006",198,"1,726","1,044","1,431","1,711",398,"2,914",424,333,
SUBA SOUTH,"17,424","15,360","8,067",119,"1,621","8,200","4,436","2,277    -","1,175","2,626",377,"1,569","1,756","1,919","2,265",302,"2,668",565,115,
MIGORI,"169,958","156,039","28,039",,"24,080","98,634","62,251","61,576    -","5,511","56,025","4,584","13,375","21,117","36,245","16,599","2,541","54,924","35,791",,
AWENDO,"20,101","18,804","1,635",,"2,896","10,379","6,215","4,837    -",654,"9,126",237,849,"2,975","5,604",525,146,"7,076","10,948",,
KURIA EAST,"14,610","13,830","4,301",,"3,013","11,393","5,016","8,034    -",587,"8,068","1,063","2,150","3,328","3,312","4,837",388,"7,583","1,251",,
KURIA WEST,"28,212","26,535","5,863",,"3,580","19,450","9,870","16,302    -",772,"8,328","1,414","2,969","4,872","5,988","4,163",477,"11,080","1,539",,
NYATIKE,"26,354","21,396","7,950",,"3,345","10,193","8,735","6,103    -","1,056","1,351",297,"2,510",691,"2,705","3,151",763,"3,180",835,,
RONGO,"19,910","18,699","1,415",,"2,691","9,499","5,982","5,519    -",400,"10,016",423,919,"2,977","4,629",651,153,"7,134","8,328",,
SUNA EAST,"18,705","17,353","1,537",,"1,937","12,196","6,177","5,950    -",692,"7,795",349,"1,009","2,153","4,854",619,144,"6,411","3,174",,
SUNA WEST,"17,050","15,736","2,908",,"3,183","9,081","9,022","5,760    -",459,"2,270",308,"1,284",939,"2,302","1,649",194,"3,974",579,,
URIRI,"25,016","23,686","2,430",,"3,435","16,443","11,234","9,071    -",891,"9,071",493,"1,685","3,182","6,851","1,004",276,"8,486","9,137",,
KISII,"219,853","194,138","31,358",,"12,622","141,895","18,851","24,900    -","4,062","147,402","7,271","8,830","44,787","14,773","41,160",,"129,308","29,793",,
ETAGO,"15,099","13,639","2,610",,"1,430","10,198","2,505","2,205    -",332,"8,568",398,746,"3,010","2,328","2,774",,"7,313","6,911",,
GUCHA,"15,067","13,349","1,927",,750,"9,267","1,388","1,971    -",343,"9,946",350,404,"2,085","1,300","2,233",,"9,132","1,979",,
GUCHASOUTH,"15,386","14,291","3,434",,886,"10,459","1,901","2,173    -",600,"9,081",342,713,"2,745","3,355","4,223",,"9,000","3,355",,
KENYENYA,"23,613","20,895","2,432",,"1,762","15,730","1,592","3,466    -",257,"16,501",868,709,"3,328",488,"2,815",,"13,128","2,646",,
KISII CENTRAL,"24,658","19,737","1,647",,863,"13,871","1,543","2,264    -",250,"16,889",856,913,"5,322",237,"2,300",,"15,368","3,695",,
KISII SOUTH,"22,532","19,966","2,768",,917,"13,488","2,614","1,875    -",397,"16,249",431,600,"4,684","2,929","2,662",,"11,945","4,139",,
KITUTU CENTRAL,"20,197","16,904","2,017",,644,"10,689","1,865","1,987    -",495,"12,077",457,814,"3,959","1,377","2,922",,"10,197","1,618",,
MARANI,"21,857","20,035","7,851",,622,"16,119","2,007","1,536    -",330,"15,128",599,"1,250","6,551","2,129","7,854",,"14,200","2,218",,
MASABA SOUTH,"23,932","21,336","2,890",,"2,527","18,773","1,063","2,952    -",598,"16,946","1,632","1,344","6,354",110,"6,510",,"16,125","1,259",,
NYAMACHE,"24,952","22,570","2,258",,"1,614","15,565","1,202","2,874    -",203,"17,153","1,014",848,"4,337",136,"4,559",,"15,026","1,115",,
SAMETA,"12,560","11,416","1,524",,607,"7,736","1,171","1,597    -",257,"8,864",324,489,"2,412",384,"2,308",,"7,874",858,,
NYAMIRA,"110,028","89,330","10,634","-    7,009","73,139","6,117","13,058","6,094","1,367","73,928","6,758","6,525","27,871","2,934","24,192","-    71,185","11,480",803,,
BORABU,"10,890","8,241","1,209","-    1,966","7,949",525,"2,263",568,173,"6,641","1,598","1,156","3,121",142,"2,587",-    7 244,"1,470",102,,
MANGA,"18,096","14,971","1,566",-    767,"11,840","1,319","1,929","1,040",204,"13,727",909,911,"5,775",99,"4,301",-    13 268,"2,407",129,,
MASABANORTH,"20,678","17,087","1,921","-    1,715","14,621",972,"2,537",1 200',304,"14,128","1,207","1,043","5,775",137,"4,889","-    13,799","1,807",186,,
NYAMIRA NORTH,"31,900","26,777","2,931","-    1,510","21,226","2,210","4,019","1,326",320,"20,950","1,616","1,755","5,446","1,387","5,678","-18,212","2,669",172,,
NYAMIRA SOUTH,"28,464","22,254","3,007","-    1,051","17,503","1,091","2,310","1,960",366,"18,482","1,428","1,660","7,754","1,169","6,737","-18,662","3,127",214,,
NAIROBI,"32,258","9,867",,,"7,610",,,,,,,,,,,"-    9,573",,,,
DAGORETTI,"5,691","2,319",,,"2,029",,,-,-,-,-,-,-,,,-    2 057,,,,
EMBAKASI,"3,224",699,-,--,526,-,-,-,-,-,-,-,-,,,-    704,,,,
KAMUKUNJI,459,95,,,63,,,,,,,,,,,-    99,,,,
KASARANI,"6,136","1,904",,,"1,283",,,,,,,,,,,"-    1,934",,,,
KIBRA,737,187,,,152,,,,,,,,,,,-201,,,,
LANG'ATA,"1,712",533,,,414,,,,,,,,,,,-    734,,,,
MAKADARA,639,106,,,77,,,,,,,,,,,-    92,,,,
MATHARE,735,178,-,,142,,,,,,,,,,,-    147,,,,
NJIRU,"10,642","2,950",-,--,"2,180",-,-,-,-,-,-,-,-,,,"-    2,715",,,,
STAREHE,483,158,,,124,,,,,,,,,,,-    113,,,,
WESTLANDS,"1,800",738,,,620,,,,,,,,,,,-    777,,,,
