County/Sub County,Farming,Maize,Sorghum,Rice,Potatoes,Beans,Cassava,Sweet Potatoes,Wheat,Green grams,Bananas,Cabbages,Tomatoes,Onions,Ground Nuts,Millet,Watermelons,Kales,Sugarcane,Cotton
LAFEY,"7,352",304,189,-    31,117,,,,,39,23,63,41,,31,54,34,18,,
MANDERA CENTRAL,"8,042",310,211,-111,187,,,,,104,105,137,112,,100,186,102,101,,
MANDERA EAST,"7,078","2,466",572,-    156,"1,623",,,,,706,176,"1,145",681,,200,"1,101",272,172,,
MANDERA NORTH,"9,566","3,213",912,-118,"1,813",,,,,484,141,861,553,,203,820,221,108,,
MARSABIT,"39,167","1,933",,,"1,619",,,72,,,,,,,,,405,,,
LOIYANGALANI,"4,891",54,,,51,,,,,,,,,,,,43,,,
MARSABIT CENTRAL,"4,727","1,447",,,"1,219",,,62,,,,,,,,,256,,,
MARSABIT NORTH,"6,193",98,,,90,,,1,,,,,,,,,4,,,
MARSABIT SOUTH,"8,620",13,,,11,,,,,,,,,,,,23,,,
MOYALE,"3,823",151,,,123,,,5,,,,,,,,,54,,,
NORTH HORR,"7,259",3,,,1,,,,,,,,,,,,2,,,
SOLOLO,"3,654",167,,,124,,,4,,,,,,,,,23,,,
ISIOLO,"24,271","1,983",,,"1,297",,351,,290,307,,"1,111","1,019",,,364,"1,086",,,
GARBATULLA,"9,264",655,,,206,,99,,138,119,,491,442,,,223,390,,,
ISIOLO,"8,600","1,119",,,"1,059",,239,,143,176,,520,494,,,87,619,,,
MERTI,"6,407",209,,,32,,13,,9,12,,100,83,,,54,77,,,
MERU,"274,865","217,403","34,277","-    68,292","181,410","40,774","34,320","6,290","23,981","118,020","22,818","13,710","19,650","6,202","15,218","2,499","53,941","27,532","2,428",
BUURI EAST,"18,061","14,811",555,"-    12,913","14,256","1,129","1,731","2,267",607,"2,189","2,572","1,268","1,667",89,147,240,"3,439",677,331,
BUURI WEST,"14,939","11,358",191,"-    11,231","8,916",535,"1,155","2,009",554,"1,656","2,568",918,"3,423",99,118,119,"4,760","1,440",80,
IGEMBE CENTRAL,"31,946","25,925","1,189","-    5,413","22,202","2,623","1,851",184,"1,982","7,755",220,667,426,137,887,253,"2,101","1,710",105,
IGEMBE NORTH,"22,743","18,822","1,432","-    7,915","16,600","2,270","1,589",260,580,"7,450",262,364,208,75,"1,397",115,"1,647","1,138",79,
IGEMBE SOUTH,"21,483","14,780","1,456","-    1,300","11,435","2,143","1,451",207,"2,368","9,459",349,577,812,192,"1,747",168,"3,804","2,634",131,
IMENTI NORTH,"27,839","21,729","3,310","-    4,663","19,255","5,509","4,719",354,"2,031","15,073","1,787","2,345","2,023","1,093","1,124",321,"6,282","2,981",101,
IMENTI SOUTH,"46,386","36,114","6,812","-    10,358","27,093","9,476","9,879",287,"4,711","31,511","8,020","3,795","6,672",389,"2,378",452,"16,319","8,708",225,
MERU CENTRAL,"31,894","26,113","9,618","-    7,965","20,800","6,304","5,575",264,"6,544","17,375","6,421","1,455","2,474","1,452","3,562",259,"9,345","4,317",159,
TIGANIA CENTRAL,"18,982","13,696","4,044",-    482,"10,065","2,630","1,752",166,"2,040","10,529",231,613,687,"1,438","2,783",174,"2,592","1,976",80,
TIGANIA EAST,"12,186","9,790","1,004","-    4,543","9,004","1,723","1,027",43,352,"3,542",136,511,408,30,87,94,"1,125",636,44,
TIGANIA WEST,"28,224","24,124","4,655","-    1,354","21,669","6,402","3,559",244,"2,206","11,439",234,"1,186",828,"1,199",977,302,"2,482","1,298","1,089",
MERU NATIONAL PARK,3,3,,,2,,,,,,1,,,,,,,,,
MT. KENYA FOREST,179,138,11,-    155,113,30,32,5,6,42,17,11,22,9,11,2,45,17,4,
THARAKA - NITHI,"85,767","53,730","31,848","-    6,312","41,827","18,303","10,425",,"29,144","31,892","2,102","3,745","5,674","1,012","27,262","1,158","13,507","10,232",616,
IGAMBANG'OMBE,"12,254","8,147","5,572",-182,"5,537","1,611",630,,"5,612","1,673",96,345,140,57,"5,004",141,888,462,134,
