County/ Sub-County,Total*,Pre-Primary,Primary,Secondary,Technical and Vocational Training (TVET),University,Adult Basic Education,Madrasa/ Duksi,Don't Know,Not Stated
Male,"26,331","4,088","14,199","6,167","1,055",367,57,311,70,17
Female,"20,472","3,515","12,374","3,473",634,133,46,260,25,12
TANA RIVER,"50,567","8,909","29,309","8,899","2,112",718,68,353,148,51
Male,"26,044","4,625","13,944","5,370","1,251",505,36,197,92,24
Female,"24,523","4,284","15,365","3,529",861,213,32,156,56,27
LAMU,"103,880","11,533","60,689","23,070","4,842","1,908",113,"1,475",214,36
Male,"56,751","5,910","31,109","14,577","2,904","1,302",55,745,130,19
Female,"47,126","5,623","29,577","8,493","1,938",606,58,730,84,17
LAMU EAST,"15,810","1,859","9,769","2,944",518,129,27,538,26,
Male,"8,629",947,"4,963","1,973",348,101,13,268,16,
Female,"7,181",912,"4,806",971,170,28,14,270,10,
LAMU WEST,"88,070","9,674","50,920","20,126","4,324","1,779",86,937,188,36
Male,"48,122","4,963","26,146","12,604","2,556","1,201",42,477,114,19
Female,"39,945","4,711","24,771","7,522","1,768",578,44,460,74,17
TAITA/TAVETA,"283,179","22,741","157,461","73,166","22,160","6,538",389,47,607,70
Male,"146,247","11,494","79,811","38,607","11,762","4,064",106,23,345,35
Female,"136,927","11,246","77,648","34,557","10,398","2,474",283,24,262,35
MWATATE,"69,170","5,465","39,503","17,643","4,982","1,348",98,6,116,9
Male,"35,947","2,751","20,083","9,462","2,719",820,34,4,69,5
Female,"33,222","2,713","19,420","8,181","2,263",528,64,2,47,4
TAITA,"48,089","3,529","25,788","13,605","3,924","1,023",98,4,116,2
Male,"24,894","1,766","13,153","7,128","2,127",638,23,2,57,
Female,"23,195","1,763","12,635","6,477","1,797",385,75,2,59,2
TAVETA,"73,195","6,476","44,637","16,469","4,028","1,384",51,19,109,22
Male,"38,171","3,280","22,978","8,818","2,111",890,18,8,59,9
Female,"35,024","3,196","21,659","7,651","1,917",494,33,11,50,13
VOI,"92,725","7,271","47,533","25,449","9,226","2,783",142,18,266,37
Male,"47,235","3,697","23,597","13,199","4,805","1,716",31,9,160,21
Female,"45,486","3,574","23,934","12,248","4,421","1,067",111,9,106,16
GARISSA,"165,797","14,038","80,657","41,670","7,414","4,247",716,"15,615","1,283",157
Male,"98,291","7,262","45,637","27,597","4,780","3,179",423,"8,556",763,94
Female,"67,501","6,776","35,018","14,071","2,634","1,067",293,"7,059",520,63
BALAMBALA,"3,535",319,"1,679","1,394",76,32,28,6,1,
Male,"2,391",176,"1,019","1,095",54,21,21,4,1,
Female,"1,144",143,660,299,22,11,7,2,,
DADAAB,"25,675","1,536","13,711","6,429",898,412,147,"2,273",210,59
Male,"15,538",793,"7,793","4,450",671,321,86,"1,256",126,42
Female,"10,137",743,"5,918","1,979",227,91,61,"1,017",84,17
FAFI,"18,945","1,380","9,799","5,000",413,125,100,"2,002",103,23
Male,"11,187",734,"5,431","3,405",301,103,61,"1,071",67,14
Female,"7,756",646,"4,367","1,594",112,22,39,931,36,9
GARISSA,"56,947","4,033","25,456","15,688","4,116","2,795",98,"4,333",378,50
Male,"32,463","2,062","13,813","9,657","2,390","2,025",54,"2,224",215,23
Female,"24,481","1,971","11,642","6,030","1,726",769,44,"2,109",163,27
HULUGHO,"22,386","2,504","11,240","4,217",373,190,116,"3,611",127,8
Male,"13,803","1,346","6,922","2,897",276,158,64,"2,050",85,5
Female,"8,583","1,158","4,318","1,320",97,32,52,"1,561",42,3
IJARA,"33,072","3,558","15,779","7,894","1,407",614,189,"3,186",428,17
Male,"20,104","1,825","9,159","5,419",994,489,116,"1,846",246,10
Female,"12,968","1,733","6,620","2,475",413,125,73,"1,340",182,7
LAGDERA,"5,237",708,"2,993","1,048",131,79,38,204,36,
Male,"2,805",326,"1,500",674,94,62,21,105,23,
Female,"2,432",382,"1,493",374,37,17,17,99,13,
