County/ Sub-County,Total*,Pre-Primary,Primary,Secondary,Technical and Vocational Training (TVET),University,Adult Basic Education,Madrasa/ Duksi,Don't Know,Not Stated
MACHAKOS,"149,046","10,245","65,980","44,609","18,823","8,621",172,4,577,15
Male,"75,155","5,216","33,357","22,422","8,912","4,850",56,2,331,9
Female,"73,885","5,028","32,622","22,185","9,909","3,771",116,2,246,6
MASINGA,"123,806","10,247","76,126","27,845","6,490","2,429",175,9,469,16
Male,"62,390","5,367","38,017","13,845","3,277","1,510",76,6,283,9
Female,"61,414","4,880","38,107","14,000","3,213",919,99,3,186,7
MATUNGULU,"141,017","10,550","72,865","42,643","10,665","3,773",171,5,337,8
Male,"71,601","5,348","36,816","21,647","5,383","2,149",59,3,194,2
Female,"69,413","5,202","36,047","20,995","5,282","1,624",112,2,143,6
MWALA,"157,089","11,830","87,664","44,077","9,373","3,439",299,14,382,11
Male,"79,772","6,186","43,918","22,419","4,773","2,133",125,6,204,8
Female,"77,316","5,644","43,745","21,658","4,600","1,306",174,8,178,3
YATTA,"144,405","10,884","81,255","38,722","9,376","3,360",240,2,560,6
Male,"72,665","5,595","40,416","19,261","4,893","2,063",106,1,328,2
Female,"71,739","5,289","40,838","19,461","4,483","1,297",134,1,232,4
MAKUENI,"837,302","62,293","470,465","224,876","53,683","21,686","1,266",56,"2,833",144
Male,"420,302","31,949","233,798","112,118","26,970","13,324",454,35,"1,592",62
Female,"416,985","30,343","236,658","112,756","26,711","8,361",812,21,"1,241",82
KATHONZWENI,"67,132","4,855","38,136","17,709","4,399","1,622",93,,314,4
Male,"33,684","2,461","19,002","8,785","2,222",994,33,,185,2
Female,"33,445","2,394","19,132","8,924","2,176",628,60,,129,2
KIBWEZI,"163,384","12,768","96,903","41,902","7,650","3,460",179,18,484,20
Male,"82,305","6,472","48,439","20,842","3,949","2,234",78,17,266,8
Female,"81,075","6,296","48,462","21,059","3,701","1,225",101,1,218,12
KILUNGU,"52,526","3,936","31,073","13,217","2,845","1,198",99,6,139,13
Male,"25,443","2,016","14,780","6,395","1,421",721,32,2,70,6
Female,"27,082","1,920","16,292","6,822","1,424",477,67,4,69,7
MAKINDU,"70,628","5,792","40,109","18,070","4,466","1,847",101,6,210,27
Male,"35,212","3,050","19,811","8,881","2,136","1,149",46,5,123,11
Female,"35,416","2,742","20,298","9,189","2,330",698,55,1,87,16
MAKUENI,"112,666","8,290","56,498","32,130","10,593","4,528",193,3,427,4
Male,"57,095","4,340","28,497","15,992","5,296","2,675",62,1,231,1
Female,"55,569","3,950","27,999","16,138","5,297","1,853",131,2,196,3
MBOONI EAST,"83,425","6,563","46,551","22,479","5,362","1,977",161,2,327,3
Male,"41,942","3,397","23,114","11,255","2,738","1,201",47,2,187,1
Female,"41,482","3,165","23,437","11,224","2,624",776,114,,140,2
MBOONI WEST,"88,610","6,583","49,956","24,025","5,494","1,958",197,4,385,8
Male,"43,407","3,321","24,198","11,693","2,724","1,178",64,2,224,3
Female,"45,202","3,262","25,758","12,332","2,769",780,133,2,161,5
MUKAA,"91,871","6,472","50,419","26,306","5,945","2,372",111,17,197,32
Male,"47,042","3,343","25,449","13,561","3,040","1,470",41,6,119,13
Female,"44,829","3,129","24,970","12,745","2,905",902,70,11,78,19
NZAUI,"107,060","7,034","60,820","29,038","6,929","2,724",132,,350,33
Male,"54,172","3,549","30,508","14,714","3,444","1,702",51,,187,17
Female,"52,885","3,485","30,310","14,323","3,485","1,022",81,,163,16
NYANDARUA,"554,036","43,508","301,284","164,196","30,742","12,937",532,23,748,66
Male,"277,223","22,368","150,491","80,434","15,445","7,877",134,5,437,32
Female,"276,797","21,139","150,783","83,758","15,297","5,060",398,18,311,33
KINANGOP,"96,274","7,168","53,501","28,593","4,898","1,964",55,2,77,16
Male,"47,838","3,637","26,664","13,876","2,394","1,196",13,,49,9
Female,"48,433","3,530","26,835","14,717","2,504",768,42,2,28,7
NYANDARUA SOUTH,"81,756","6,177","44,975","23,588","4,795","2,068",68,3,78,4
Male,"40,704","3,158","22,486","11,352","2,375","1,262",20,,49,2
Female,"41,049","3,019","22,488","12,234","2,420",806,48,3,29,2
MIRANGINE,"57,966","4,973","32,410","17,152","2,439",847,43,2,93,7
Male,"29,299","2,575","16,238","8,602","1,266",549,13,1,52,3
Female,"28,666","2,398","16,171","8,550","1,173",298,30,1,41,4
KIPIPIRI,"81,270","6,268","48,038","21,893","3,441","1,395",119,2,100,14
Male,"40,745","3,224","24,113","10,645","1,826",847,22,1,61,6
Female,"40,523","3,044","23,923","11,248","1,615",548,97,1,39,8
NYANDARUA CENTRAL,"64,926","5,257","33,104","19,970","4,425","1,993",44,1,123,9
Male,"32,684","2,780","16,581","9,871","2,155","1,205",14,,73,5
Female,"32,241","2,477","16,522","10,099","2,270",788,30,1,50,4
NYANDARUA WEST,"85,804","7,132","43,524","26,741","5,648","2,548",80,6,121,4
Male,"43,142","3,658","21,860","13,121","2,863","1,552",19,2,66,1
Female,"42,658","3,474","21,661","13,619","2,785",996,61,4,55,3
NYANDARUA NORTH,"86,026","6,533","45,728","26,252","5,093","2,122",123,7,156,12
Male,"42,801","3,336","22,547","12,962","2,563","1,266",33,1,87,6
Female,"43,223","3,197","23,181","13,289","2,530",856,90,6,69,5
ABERDARE NATIONAL PARK,14,,4,7,3,,,,,
Male,10,,2,5,3,,,,,
Female,4,,2,2,,,,,,
NYERI,"669,179","42,749","305,616","225,802","63,629","28,598",842,36,"1,860",47
Male,"333,191","21,741","151,861","111,521","30,309","16,500",189,10,"1,032",28
Female,"335,963","21,007","153,736","114,276","33,320","12,098",653,26,828,19
TETU,"71,556","4,784","33,509","24,666","6,171","2,129",131,5,159,2
Male,"35,587","2,397","16,680","12,179","3,022","1,182",27,1,98,1
Female,"35,967","2,387","16,828","12,486","3,149",947,104,4,61,1
KIENI EAST,"97,363","6,481","46,701","32,615","8,332","2,957",60,3,206,8
Male,"49,107","3,282","23,723","16,245","3,988","1,723",19,1,120,6
Female,"48,252","3,198","22,976","16,369","4,344","1,234",41,2,86,2
KIENI WEST,"77,958","5,296","40,576","24,877","5,079","1,824",91,4,206,5
Male,"39,101","2,753","20,179","12,401","2,551","1,061",21,2,130,3
Female,"38,852","2,543","20,392","12,476","2,528",763,70,2,76,2
MATHIRA EAST,"88,451","5,564","37,195","30,970","8,519","5,841",123,5,231,3
Male,"43,328","2,766","18,216","14,866","3,967","3,361",21,1,129,1
Female,"45,120","2,798","18,977","16,103","4,552","2,480",102,4,102,2
MATHIRA WEST,"53,736","3,195","25,885","18,448","4,442","1,512",106,8,132,8
Male,"26,800","1,659","12,881","9,143","2,180",840,28,1,65,3
Female,"26,933","1,536","13,002","9,304","2,262",672,78,7,67,5
NYERI SOUTH,"79,983","4,934","36,438","28,324","7,313","2,658",120,5,189,2
Male,"39,530","2,555","17,758","14,041","3,571","1,490",20,4,90,1
Female,"40,452","2,379","18,679","14,283","3,742","1,168",100,1,99,1
MUKURWE-INI,"77,621","4,694","40,843","24,123","5,533","2,049",112,4,259,4
Male,"39,162","2,377","20,208","12,270","2,888","1,248",30,,139,2
Female,"38,454","2,317","20,630","11,853","2,645",801,82,4,120,2
NYERI CENTRAL,"122,241","7,792","44,394","41,649","18,192","9,620",99,2,478,15
Male,"60,394","3,946","22,163","20,285","8,117","5,588",23,,261,11
Female,"61,845","3,846","22,230","21,363","10,075","4,032",76,2,217,4
MT. KENYA FOREST,174,7,65,71,29,2,,,,
Male,115,4,45,50,14,2,,,,
Female,59,3,20,21,15,,,,,
ABERDARE FOREST,96,2,10,59,19,6,,,,
Male,67,2,8,41,11,5,,,,
Female,29,,2,18,8,1,,,,
KIRINYAGA,"529,936","38,109","266,878","165,768","40,448","16,767",644,32,"1,253",37
Male,"266,723","19,338","134,107","82,240","20,104","9,948",179,15,771,21
Female,"263,187","18,770","132,753","83,522","20,344","6,818",465,17,482,16
KIRINYAGA CENTRAL,"106,657","7,360","49,373","34,003","10,569","4,888",142,3,316,3
Male,"53,267","3,745","24,749","16,562","5,112","2,869",32,1,195,2
Female,"53,386","3,615","24,621","17,440","5,457","2,019",110,2,121,1
KIRINYAGA EAST,"118,613","8,258","58,349","39,250","8,898","3,442",151,14,231,20
Male,"60,084","4,129","29,523","19,558","4,650","2,011",49,6,146,12
Female,"58,521","4,129","28,821","19,689","4,248","1,431",102,8,85,8
KIRINYAGA WEST,"100,427","7,001","50,304","31,789","7,851","3,101",157,5,216,3
Male,"50,206","3,568","24,980","15,688","3,961","1,833",38,5,131,2
Female,"50,218","3,433","25,321","16,101","3,890","1,268",119,,85,1
MWEA EAST,"112,975","8,538","58,254","34,327","8,007","3,399",118,7,316,9
Male,"56,761","4,357","29,490","16,847","3,782","2,046",42,2,190,5
Female,"56,208","4,181","28,759","17,480","4,225","1,352",76,5,126,4
MWEA WEST,"91,230","6,950","50,594","26,386","5,111","1,934",76,3,174,2
Male,"46,381","3,539","25,361","13,576","2,589","1,188",18,1,109,
Female,"44,844","3,410","25,231","12,808","2,522",746,58,2,65,2
MT. KENYA FOREST,34,2,4,13,12,3,,,,
Male,24,,4,9,10,1,,,,
Female,10,2,,4,2,2,,,,
MURANG'A,"911,765","62,067","495,697","270,364","57,479","23,058","1,101",49,"1,807",143
Male,"460,085","31,351","247,567","136,784","28,877","14,050",314,19,"1,050",73
Female,"451,651","30,711","248,116","133,575","28,599","9,007",787,30,756,70
MURANG'A EAST,"93,767","5,803","47,881","27,038","8,494","4,221",94,6,224,6
Male,"46,925","2,928","24,290","13,223","3,917","2,385",30,3,147,2
Female,"46,841","2,874","23,591","13,815","4,577","1,836",64,3,77,4
KANGEMA,"69,647","4,335","37,657","21,084","4,634","1,676",115,8,138,
Male,"35,032","2,176","18,675","10,639","2,374","1,056",37,2,73,
Female,"34,612","2,158","18,982","10,443","2,260",620,78,6,65,
MATHIOYA,"79,274","5,444","43,022","23,581","5,073","1,775",179,6,179,15
Male,"39,849","2,742","21,523","11,700","2,639","1,090",44,1,103,7
Female,"39,424","2,702","21,498","11,881","2,434",685,135,5,76,8
KAHURO,"76,930","4,757","42,158","23,524","4,507","1,658",110,6,202,8
Male,"38,565","2,400","20,735","11,936","2,325","1,037",20,,107,5
Female,"38,358","2,355","21,420","11,587","2,181",621,90,6,95,3
MURANG'A SOUTH,"159,238","11,101","88,008","45,583","9,888","4,210",154,5,262,27
Male,"80,265","5,640","43,931","23,000","4,889","2,594",50,3,144,14
Female,"78,968","5,460","44,075","22,583","4,997","1,616",104,2,118,13
GATANGA,"163,372","11,849","88,225","48,609","10,050","4,109",179,,322,29
Male,"83,337","5,996","44,343","25,220","5,065","2,453",56,,189,15
Female,"80,032","5,853","43,880","23,389","4,985","1,656",123,,132,14
KIGUMO,"118,165","7,859","65,984","35,244","6,309","2,407",129,11,193,29
Male,"59,748","4,020","32,959","17,757","3,297","1,544",33,6,116,16
Female,"58,414","3,839","33,023","17,487","3,012",862,96,5,77,13
KANDARA,"151,331","10,917","82,756","45,675","8,517","3,002",141,7,287,29
Male,"76,334","5,448","41,106","23,290","4,366","1,891",44,4,171,14
Female,"74,991","5,469","41,646","22,383","4,151","1,111",97,3,116,15
ABERDARE FOREST,41,2,6,26,7,,,,,
Male,30,1,5,19,5,,,,,
Female,11,1,1,7,2,,,,,
KIAMBU,"2,119,863","148,444","812,773","705,709","277,050","167,499","1,429",73,"6,363",523
Male,"1,044,944","75,078","398,130","349,177","125,787","92,275",473,29,"3,731",264
Female,"1,074,806","73,358","414,593","356,495","151,253","75,217",956,44,"2,631",259
GATUNDU NORTH,"95,276","6,851","48,696","31,117","6,302","1,868",109,1,315,17
Male,"47,898","3,452","24,145","15,752","3,229","1,095",28,,190,7
Female,"47,376","3,399","24,551","15,364","3,072",773,81,1,125,10
GATUNDU SOUTH,"105,449","6,824","52,985","35,025","7,883","2,255",121,3,311,42
Male,"53,333","3,484","26,317","17,946","4,006","1,340",40,2,181,17
Female,"52,112","3,339","26,667","17,077","3,877",915,81,1,130,25
GITHUNGURI,"144,873","9,403","65,945","51,914","13,188","4,014",122,8,260,19
Male,"72,888","4,771","33,148","26,245","6,264","2,265",31,2,152,10
Female,"71,978","4,632","32,793","25,666","6,924","1,749",91,6,108,9
JUJA,"265,949","19,634","92,175","86,366","40,240","26,351",166,11,931,75
Male,"131,199","9,959","44,768","42,333","17,898","15,566",70,6,560,39
Female,"134,731","9,675","47,400","44,026","22,338","10,784",96,5,371,36
KABETE,"176,713","11,750","63,178","59,559","25,710","15,827",106,5,535,43
Male,"86,641","5,926","30,846","29,456","11,615","8,447",34,2,296,19
Female,"90,058","5,823","32,328","30,095","14,095","7,379",72,3,239,24
KIAMBAA,"207,042","14,905","75,775","70,092","27,741","17,636",123,2,685,83
Male,"101,843","7,535","37,036","35,598","12,149","9,062",52,1,366,44
Female,"105,190","7,370","38,733","34,494","15,591","8,573",71,1,318,39
KIAMBU,"127,372","8,457","44,549","39,750","19,831","14,301",60,1,362,61
Male,"60,712","4,240","21,436","18,870","8,586","7,316",24,1,207,32
Female,"66,647","4,216","23,108","20,874","11,244","6,985",36,,155,29
KIKUYU,"165,020","11,625","60,304","50,153","24,176","18,175",107,,465,15
Male,"80,241","5,880","29,478","24,269","10,754","9,550",27,,276,7
Female,"84,775","5,744","30,823","25,884","13,422","8,625",80,,189,8
LARI,"117,345","7,773","59,151","37,986","9,028","3,013",131,6,249,8
Male,"58,938","3,959","29,369","19,200","4,489","1,714",46,,158,3
Female,"58,405","3,813","29,781","18,786","4,539","1,299",85,6,91,5
LIMURU,"138,940","10,024","62,143","46,147","14,030","6,046",152,6,368,24
Male,"70,268","5,073","31,487","23,730","6,429","3,286",33,2,213,15
Female,"68,672","4,951","30,656","22,417","7,601","2,760",119,4,155,9
RUIRU,"327,537","23,638","103,475","114,502","48,767","35,737",123,16,"1,201",78
Male,"159,022","11,900","48,882","55,267","22,178","19,941",44,6,761,43
Female,"168,496","11,735","54,586","59,229","26,588","15,794",79,10,440,35
THIKA EAST,"33,778","2,425","16,288","10,889","3,089",989,23,1,67,7
Male,"17,320","1,209","8,239","5,739","1,505",575,9,,42,2
Female,"16,454","1,216","8,047","5,148","1,584",414,14,1,25,5
THIKA WEST,"214,569","15,135","68,109","72,209","37,065","21,287",86,13,614,51
Male,"104,641","7,690","32,979","34,772","16,685","12,118",35,7,329,26
Female,"109,912","7,445","35,120","37,435","20,378","9,167",51,6,285,25
TURKANA,"246,743","41,718","132,009","51,762","12,542","5,601",994,185,"1,214",718
Male,"134,242","20,807","67,873","31,963","7,798","4,120",536,103,681,361
Female,"112,498","20,910","64,135","19,799","4,744","1,481",458,82,532,357
KIBISH,"3,169",559,"1,816",570,120,56,21,,27,
Male,"1,902",296,"1,032",409,90,45,9,,21,
Female,"1,266",262,784,161,30,11,12,,6,
LOIMA,"17,434","4,676","9,218","2,267",462,148,103,,450,110
Male,"9,108","2,321","4,588","1,428",307,120,66,,221,57
Female,"8,326","2,355","4,630",839,155,28,37,,229,53
TURKANA CENTRAL,"81,517","13,339","40,452","18,560","5,779","2,895",239,2,195,56
Male,"42,842","6,598","20,122","10,577","3,200","2,054",144,2,116,29
Female,"38,675","6,741","20,330","7,983","2,579",841,95,,79,27
TURKANA EAST,"20,823","2,574","10,877","5,318","1,305",390,90,,118,151
Male,"11,534","1,340","5,667","3,149",871,305,57,,59,86
Female,"9,289","1,234","5,210","2,169",434,85,33,,59,65
TURKANA NORTH,"11,892","3,146","6,178","1,756",497,185,77,,49,4
Male,"6,748","1,597","3,386","1,190",350,152,44,,27,2
Female,"5,144","1,549","2,792",566,147,33,33,,22,2
TURKANA SOUTH,"41,268","6,892","22,669","8,644","1,960",748,152,7,111,85
Male,"21,587","3,340","10,996","5,196","1,293",569,72,4,77,40
Female,"19,679","3,552","11,672","3,448",667,179,80,3,33,45
TURKANA WEST,"70,640","10,532","40,799","14,647","2,419","1,179",312,176,264,312
Male,"40,521","5,315","22,082","10,014","1,687",875,144,97,160,147
Female,"30,119","5,217","18,717","4,633",732,304,168,79,104,165
WEST POKOT,"328,752","53,755","191,621","60,239","14,323","7,316",576,12,807,103
Male,"168,629","27,178","95,148","33,544","7,322","4,628",306,5,450,48
Female,"160,116","26,577","96,466","26,695","7,001","2,688",270,7,357,55
KIPKOMO,"67,450","10,567","41,009","11,487","2,857","1,276",121,1,132,
Male,"34,453","5,332","20,416","6,344","1,411",811,68,1,70,
Female,"32,993","5,235","20,589","5,143","1,446",465,53,,62,
POKOT CENTRAL,"58,170","10,247","37,668","7,820","1,684",577,77,,79,18
Male,"30,580","5,197","19,297","4,572","1,028",401,37,,41,7
Female,"27,589","5,050","18,370","3,248",656,176,40,,38,11
POKOT NORTH,"33,944","6,887","19,518","5,525","1,259",571,50,1,75,58
Male,"17,446","3,408","9,399","3,359",777,405,29,1,43,25
Female,"16,498","3,479","10,119","2,166",482,166,21,,32,33
POKOT SOUTH,"56,673","9,363","32,833","10,627","2,569","1,060",98,,123,
Male,"28,727","4,787","16,105","5,726","1,280",707,44,,78,
Female,"27,944","4,576","16,726","4,901","1,289",353,54,,45,
WEST POKOT,"112,515","16,691","60,593","24,780","5,954","3,832",230,10,398,27
Male,"57,423","8,454","29,931","13,543","2,826","2,304",128,3,218,16
Female,"55,092","8,237","30,662","11,237","3,128","1,528",102,7,180,11
SAMBURU,"120,230","22,669","62,566","24,559","6,646","3,176",206,6,374,28
Male,"65,075","11,765","32,084","14,615","4,033","2,232",109,1,224,12
Female,"55,154","10,903","30,482","9,944","2,613",944,97,5,150,16
SAMBURU CENTRAL,"77,389","14,088","40,849","15,661","4,139","2,283",98,3,248,20
Male,"41,684","7,308","21,004","9,214","2,389","1,568",50,1,141,9
Female,"35,705","6,780","19,845","6,447","1,750",715,48,2,107,11
SAMBURU EAST,"25,288","4,626","12,940","5,372","1,648",540,56,1,104,1
Male,"13,688","2,406","6,583","3,184","1,023",387,34,,71,
Female,"11,600","2,220","6,357","2,188",625,153,22,1,33,1
SAMBURU NORTH,"17,553","3,955","8,777","3,526",859,353,52,2,22,7
Male,"9,703","2,051","4,497","2,217",621,277,25,,12,3
Female,"7,849","1,903","4,280","1,309",238,76,27,2,10,4
TRANS NZOIA,"807,667","87,613","442,031","210,611","41,453","23,182",714,21,"1,974",68
Male,"400,680","44,210","217,139","104,170","19,556","14,048",348,6,"1,171",32
Female,"406,969","43,402","224,879","106,438","21,896","9,134",366,15,803,36
TRANS NZOIA WEST,"165,100","16,827","89,901","45,109","8,591","4,090",68,3,475,36
Male,"82,214","8,528","43,847","22,764","4,191","2,548",31,,288,17
Female,"82,883","8,299","46,052","22,344","4,400","1,542",37,3,187,19
TRANS NZOIA EAST,"187,681","18,385","104,377","49,646","9,357","5,238",158,5,503,12
Male,"93,324","9,324","51,445","24,619","4,386","3,180",71,3,292,4
Female,"94,351","9,060","52,927","25,027","4,971","2,058",87,2,211,8
KWANZA,"163,735","20,114","89,996","41,064","7,789","4,069",252,6,437,8
Male,"81,182","10,090","44,434","20,031","3,711","2,536",127,1,247,5
Female,"82,550","10,024","45,561","21,032","4,077","1,533",125,5,190,3
ENDEBESS,"87,680","11,639","53,902","18,428","2,362","1,110",86,2,149,2
Male,"44,520","5,889","26,680","9,794","1,248",767,48,1,92,1
Female,"43,157","5,750","27,219","8,634","1,114",343,38,1,57,1
KIMININI,"203,471","20,648","103,855","56,364","13,354","8,675",150,5,410,10
Male,"99,440","10,379","50,733","26,962","6,020","5,017",71,1,252,5
Female,"104,028","10,269","53,120","29,401","7,334","3,658",79,4,158,5
UASIN GISHU,"982,670","88,562","449,736","285,461","97,036","58,417",827,86,"2,406",139
Male,"491,510","45,436","225,336","143,657","43,828","31,355",398,43,"1,388",69
Female,"491,139","43,124","224,395","141,797","53,205","27,059",429,43,"1,017",70
AINABKOI,"117,289","10,173","52,095","33,834","12,273","8,560",104,6,233,11
Male,"58,348","5,223","26,330","16,786","5,476","4,344",49,1,134,5
Female,"58,941","4,950","25,765","17,048","6,797","4,216",55,5,99,6
KAPSERET,"171,715","13,460","69,210","51,964","22,869","13,562",99,8,495,48
Male,"86,038","6,844","34,731","26,458","10,570","7,075",44,6,287,23
Female,"85,673","6,616","34,478","25,504","12,298","6,487",55,2,208,25
KESSES,"125,458","11,840","62,938","33,768","10,115","6,462",117,13,192,13
Male,"63,271","6,192","31,867","16,967","4,564","3,511",53,7,103,7
Female,"62,184","5,648","31,070","16,801","5,550","2,950",64,6,89,6
MOIBEN,"152,275","12,811","65,859","44,576","16,616","11,895",131,7,365,15
Male,"75,484","6,535","33,072","22,114","7,112","6,371",62,5,207,6
Female,"76,789","6,276","32,785","22,462","9,504","5,524",69,2,158,9
SOY,"192,028","19,191","98,732","52,394","13,743","7,309",184,4,444,27
Male,"96,177","9,890","49,523","26,077","6,200","4,126",86,2,256,17
Female,"95,846","9,300","49,209","26,316","7,542","3,182",98,2,187,10
TURBO,"223,905","21,087","100,902","68,925","21,420","10,629",192,48,677,25
Male,"112,192","10,752","49,813","35,255","9,906","5,928",104,22,401,11
Female,"111,706","10,334","51,088","33,666","11,514","4,700",88,26,276,14
ELGEYO/MARAKWET,"363,177","42,229","198,277","89,263","22,266","9,792",356,12,920,62
Male,"183,740","21,651","98,988","46,152","10,688","5,498",191,8,534,30
Female,"179,428","20,578","99,284","43,109","11,577","4,293",165,4,386,32
KEIYO NORTH,"83,235","8,395","42,120","22,653","6,693","3,104",65,8,182,15
Male,"41,815","4,370","21,295","11,372","2,990","1,632",36,4,110,6
Female,"41,419","4,025","20,824","11,281","3,703","1,472",29,4,72,9
KEIYO SOUTH,"100,537","10,062","54,311","26,230","6,752","2,704",105,3,350,20
Male,"51,261","5,207","27,675","13,410","3,298","1,401",55,3,203,9
Female,"49,273","4,855","26,636","12,819","3,453","1,302",50,,147,11
MARAKWET EAST,"70,984","11,124","40,758","14,495","2,962","1,381",92,1,170,1
Male,"35,834","5,699","19,615","7,976","1,517",883,44,1,98,1
Female,"35,149","5,425","21,142","6,519","1,445",498,48,,72,
MARAKWET WEST,"108,421","12,648","61,088","25,885","5,859","2,603",94,,218,26
Male,"54,830","6,375","30,403","13,394","2,883","1,582",56,,123,14
Female,"53,587","6,273","30,682","12,490","2,976","1,021",38,,95,12
NANDI,"744,256","78,896","418,603","175,384","46,798","21,744",998,53,"1,700",80
Male,"373,405","40,217","208,438","88,559","22,123","12,509",505,26,980,48
Female,"370,835","38,677","210,152","86,824","24,675","9,235",493,27,720,32
CHESUMEI,"140,057","12,606","74,218","35,932","10,789","6,075",124,8,301,4
Male,"69,601","6,402","36,893","17,794","4,899","3,360",73,3,174,3
Female,"70,453","6,203","37,323","18,138","5,890","2,715",51,5,127,1
NANDI CENTRAL,"123,620","13,020","68,222","29,596","8,138","4,133",283,5,223,
Male,"61,703","6,591","34,005","14,738","3,732","2,371",135,4,127,
Female,"61,913","6,429","34,214","14,857","4,406","1,762",148,1,96,
NANDI EAST,"101,090","11,255","55,974","23,706","6,871","2,923",103,6,209,43
Male,"51,192","5,727","28,018","12,257","3,315","1,669",49,3,131,23
Female,"49,896","5,528","27,954","11,449","3,556","1,254",54,3,78,20
NANDI NORTH,"138,862","14,214","79,431","33,160","7,896","3,607",139,18,383,14
Male,"69,415","7,283","39,345","16,726","3,689","2,057",66,11,229,9
Female,"69,444","6,931","40,083","16,434","4,207","1,550",73,7,154,5
NANDI SOUTH,"145,263","16,794","82,673","33,495","8,425","3,211",247,15,395,8
Male,"72,624","8,541","41,130","16,553","4,129","1,927",127,5,208,4
Female,"72,636","8,253","41,540","16,942","4,296","1,284",120,10,187,4
TINDERET,"95,364","11,007","58,085","19,495","4,679","1,795",102,1,189,11
Male,"48,870","5,673","29,047","10,491","2,359","1,125",55,,111,9
Female,"46,493","5,333","29,038","9,004","2,320",670,47,1,78,2
BARINGO,"445,727","50,032","229,993","114,769","33,737","15,116",695,32,"1,309",44
Male,"227,913","25,985","116,074","59,759","16,186","8,808",345,10,728,18
Female,"217,804","24,045","113,915","55,007","17,550","6,308",350,22,581,26
BARINGO CENTRAL,"81,414","7,061","37,858","23,054","8,949","4,146",95,20,230,1
Male,"40,778","3,672","18,903","11,590","4,128","2,314",35,8,128,
Female,"40,636","3,389","18,955","11,464","4,821","1,832",60,12,102,1
BARINGO NORTH,"82,312","8,971","44,840","20,027","5,882","2,180",111,2,296,3
Male,"42,037","4,704","22,507","10,257","3,014","1,342",51,,161,1
Female,"40,273","4,267","22,331","9,770","2,868",838,60,2,135,2
EAST POKOT,"15,563","3,044","8,109","3,098",773,382,56,,96,5
Male,"8,572","1,609","4,288","1,867",458,261,36,,51,2
Female,"6,990","1,434","3,821","1,231",315,121,20,,45,3
KOIBATEK,"111,168","10,459","56,138","31,628","8,522","4,019",121,7,266,8
Male,"56,265","5,381","28,423","16,162","3,848","2,226",70,1,151,3
Female,"54,901","5,078","27,714","15,465","4,674","1,793",51,6,115,5
MARIGAT,"66,652","9,183","36,961","15,363","3,424","1,522",82,,107,10
Male,"34,272","4,743","18,290","8,421","1,731",992,31,,58,6
Female,"32,377","4,440","18,670","6,941","1,692",530,51,,49,4
MOGOTIO,"72,874","8,271","37,666","18,781","5,349","2,481",129,3,193,1
Male,"37,248","4,292","19,204","9,699","2,466","1,399",69,1,117,1
Female,"35,624","3,978","18,462","9,081","2,883","1,082",60,2,76,
TIATY EAST,"15,744","3,043","8,421","2,818",838,386,101,,121,16
Male,"8,741","1,584","4,459","1,763",541,274,53,,62,5
Female,"7,003","1,459","3,962","1,055",297,112,48,,59,11
LAIKIPIA,"396,236","36,425","200,615","117,067","26,963","13,492",425,13,"1,198",38
Male,"201,391","18,677","101,040","59,634","13,289","7,864",152,8,708,19
Female,"194,837","17,746","99,571","57,431","13,674","5,628",273,5,490,19
LAIKIPIA CENTRAL,"82,872","5,892","41,152","26,698","6,443","2,354",83,2,236,12
Male,"41,828","3,049","20,788","13,354","3,115","1,366",20,,134,2
Female,"41,044","2,843","20,364","13,344","3,328",988,63,2,102,10
LAIKIPIA EAST,"81,439","6,457","36,720","26,828","7,713","3,406",87,6,215,7
Male,"41,595","3,278","18,359","14,100","3,748","1,925",30,5,144,6
Female,"39,839","3,178","18,358","12,727","3,965","1,481",57,1,71,1
LAIKIPIA NORTH,"16,261","3,407","9,262","2,788",496,200,66,1,40,1
Male,"8,901","1,751","4,990","1,661",304,143,23,,29,
Female,"7,360","1,656","4,272","1,127",192,57,43,1,11,1
LAIKIPIA WEST,"85,629","9,734","48,330","21,984","3,577","1,527",95,,366,16
Male,"44,371","5,031","24,681","11,533","1,928",952,43,,192,11
Female,"41,257","4,703","23,648","10,451","1,649",575,52,,174,5
NYAHURURU,"130,035","10,935","65,151","38,769","8,734","6,005",94,4,341,2
Male,"64,696","5,568","32,222","18,986","4,194","3,478",36,3,209,
Female,"65,337","5,366","32,929","19,782","4,540","2,527",58,1,132,2
NAKURU,"1,817,950","165,969","892,213","544,797","137,959","70,666","1,091",117,"4,819",319
Male,"910,222","84,772","440,076","276,540","64,284","41,122",436,54,"2,774",164
Female,"907,648","81,193","452,101","268,226","73,671","29,540",655,63,"2,044",155
GILGIL,"155,494","13,862","74,320","51,339","10,800","4,615",135,15,378,30
Male,"78,968","7,035","36,826","27,158","5,033","2,617",49,7,226,17
Female,"76,519","6,827","37,491","24,177","5,767","1,998",86,8,152,13
KURESOI NORTH,"144,244","16,313","87,925","32,843","4,693","2,077",87,2,285,19
Male,"72,651","8,337","43,337","16,955","2,472","1,348",40,2,151,9
Female,"71,590","7,976","44,587","15,886","2,221",729,47,,134,10
KURESOI SOUTH,"127,475","13,592","75,950","28,992","5,678","2,884",60,7,310,2
Male,"64,618","7,027","37,477","15,120","2,926","1,844",30,1,192,1
Female,"62,855","6,565","38,471","13,872","2,752","1,040",30,6,118,1
