County / Sub-County,Conventional Households,"Stand - alone
Radio","Desk Top
Computer/
Laptop/ Tablet","Functional
Television","Analogue
Television",Internet ,Bicycle, Motor Cycle ,Refrigerator, Car,"Truck/ Lorry/
Bus/ Three
Wheeler truck",Tuk Tuk
MANDERA,"123,954",45.0,1.5,8.3,1.4,3.5,3.3,6.4,3.2,3.0,1.0,2.5
MANDERA WEST,"14,201",29.2,1.1,5.7,1.2,2.9,2.7,7.7,1.7,2.3,1.0,2.6
BANISA,"24,000",41.5,0.8,2.4,0.6,1.9,5.1,11.5,0.4,2.7,0.9,3.7
KOTULO,"9,342",49.2,2.1,5.8,2.2,4.0,3.8,7.5,1.0,3.4,1.6,4.7
LAFEY,"11,380",67.9,1.3,3.3,1.3,3.5,3.8,4.8,0.9,3.2,1.8,2.5
MANDERA CENTRAL,"20,795",39.8,1.8,13.2,2.5,3.9,5.0,9.5,6.0,4.4,1.4,2.6
MANDERA EAST,"25,206",46.3,2.5,17.6,1.5,5.6,1.6,1.3,7.7,3.6,0.8,1.2
MANDERA NORTH,"19,030",49.4,0.9,3.9,0.7,2.2,1.7,2.9,1.2,1.2,0.5,1.2
MARSABIT,"76,689",27.8,2.5,14.7,1.6,4.4,1.9,5.6,3.0,2.2,0.6,0.6
LOIYANGALANI,"7,646",10.9,1.0,3.3,0.5,2.0,0.6,2.6,0.4,0.9,0.4,0.3
MARSABIT CENTRAL,"15,658",44.7,5.9,33.0,3.2,9.2,4.3,11.3,7.3,5.0,0.8,0.8
MARSABIT NORTH,"7,468",41.1,0.8,3.5,0.4,1.5,1.2,4.9,0.4,0.9,0.4,0.5
MARSABIT SOUTH,"11,563",15.7,1.3,4.5,0.5,2.3,0.9,2.4,0.8,1.2,0.3,0.5
MOYALE,"17,591",27.3,2.8,25.3,2.6,6.0,2.2,6.0,5.3,2.4,0.7,0.5
NORTH HORR,"9,601",17.4,1.2,3.2,0.7,2.0,1.1,2.4,0.5,1.3,0.9,0.8
SOLOLO,"7,162",29.3,1.2,4.8,0.6,1.7,1.2,5.6,0.5,1.1,0.4,0.7
ISIOLO,"53,217",39.1,4.5,26.8,2.4,8.9,4.2,7.9,7.5,4.0,0.7,0.6
GARBATULLA,"17,047",38.4,1.1,9.0,1.3,2.6,2.0,5.5,2.7,1.7,0.6,1.0
ISIOLO,"27,612",43.1,7.7,43.4,3.5,14.6,6.4,9.3,12.0,6.5,0.9,0.3
MERTI,"8,558",28.1,1.0,9.1,0.9,2.7,1.4,7.9,2.9,0.8,0.4,0.6
MERU,"423,931",53.4,4.3,34.5,4.1,10.2,8.7,9.8,3.5,5.2,0.7,0.3
BUURI EAST,"23,737",62.8,4.3,43.6,8.0,11.2,9.6,10.6,3.4,7.0,1.4,0.3
BUURI WEST,"27,905",59.5,4.4,46.2,5.3,15.9,10.3,11.7,2.7,4.8,0.7,0.3
IGEMBE CENTRAL,"51,848",48.4,1.4,20.6,2.4,4.9,2.7,7.9,0.8,2.7,0.4,0.3
IGEMBE NORTH,"38,716",48.7,1.3,17.5,1.7,3.5,1.8,6.9,0.7,2.5,0.3,0.2
IGEMBESOUTH,"43,222",42.4,2.9,29.9,2.7,7.5,3.1,7.9,2.4,4.0,0.5,0.3
IMENTI NORTH,"57,556",52.7,12.0,56.7,6.2,24.3,10.2,8.3,11.1,10.4,1.0,0.3
IMENTI SOUTH,"63,954",59.6,5.0,42.9,4.3,11.6,9.0,12.7,4.0,6.7,0.9,0.3
MERU CENTRAL,"39,498",62.0,4.0,41.1,5.7,9.2,13.3,12.1,3.4,6.0,0.9,0.3
TIGANIA CENTRAL,"24,983",51.9,2.0,19.4,2.1,3.3,8.8,9.5,1.0,2.9,0.4,0.3
TIGANIA EAST,"16,791",47.8,2.4,18.3,2.3,4.7,5.1,7.2,1.7,3.0,0.4,0.3
TIGANIA WEST,"35,402",51.7,2.8,23.5,3.7,6.7,23.0,11.5,1.8,3.5,0.5,0.3
MERU NATIONAL PARK,46,43.5,4.3,80.4,15.2,4.3,,,4.3,4.3,,
MT. KENYA FOREST,273,59.3,2.9,7.3,0.4,7.3,11.7,11.4,0.7,1.1,0.4,0.7
THARAKA-NITHI,"109,450",58.4,4.9,29.8,3.5,11.5,18.2,13.6,3.5,5.0,0.7,0.3
IGAMBANG'OMBE,"14,383",56.9,2.1,16.0,2.9,4.6,15.9,12.5,1.2,2.6,0.5,0.2
MAARA,"34,779",64.5,5.1,38.2,3.6,12.7,14.3,14.3,4.2,6.1,0.8,0.3
MERU SOUTH,"28,211",61.8,9.0,44.4,4.7,19.8,12.7,11.0,6.5,7.6,0.9,0.3
THARAKA NORTH,"13,403",46.7,1.4,10.6,2.0,4.6,33.4,15.6,0.5,2.2,0.3,0.3
THARAKA SOUTH,"18,603",51.4,2.9,16.3,3.0,6.6,24.8,15.8,1.7,3.2,0.5,0.3
MT. KENYA FOREST,71,77.5,11.3,52.1,,46.5,2.8,7.0,4.2,2.8,,1.4
EMBU,"182,427",62.9,6.3,42.0,5.0,14.7,17.5,13.9,5.6,6.6,0.9,0.4
EMBU EAST,"39,586",66.6,4.6,44.2,5.4,10.4,18.7,15.6,4.3,5.7,0.8,0.3
EMBU NORTH,"24,294",66.7,5.1,50.6,5.5,13.0,13.5,13.2,4.1,7.1,0.9,0.2
EMBU WEST,"43,126",59.3,13.6,56.5,5.9,29.0,15.5,10.1,12.7,10.7,1.3,0.4
MBEERESOUTH,"45,924",61.6,3.2,30.7,4.5,10.0,21.2,16.3,2.5,4.8,0.8,0.4
MBEERE NORTH,"29,483",61.9,3.5,28.4,3.4,8.2,16.5,14.1,2.8,4.4,0.8,0.4
MT. KENYA FOREST,14,71.4,14.3,28.6,21.4,14.3,,14.3,,,,
KITUI,"261,814",55.1,3.5,19.5,3.0,6.8,22.0,13.2,2.7,3.7,0.7,0.6
IKUTHA,"16,579",54.6,1.9,10.7,1.9,6.4,30.5,13.8,1.0,1.9,0.6,0.6
KATULANI,"12,166",56.5,3.2,22.4,3.4,7.0,25.8,12.5,3.0,4.5,0.7,0.4
KISASI,"10,860",49.0,2.3,15.0,2.7,4.4,27.2,10.3,1.2,2.8,0.6,0.5
KITUI CENTRAL,"29,026",55.7,8.7,37.2,5.1,15.5,13.3,12.1,8.6,6.3,1.0,0.7
KITUI WEST,"17,465",60.3,3.8,27.3,4.5,7.3,28.7,15.5,2.8,5.4,0.7,0.7
KYUSO,"15,969",49.4,2.4,13.2,1.9,6.0,21.8,14.7,1.1,2.7,0.8,0.4
LOWER YATTA,"15,021",60.6,2.6,16.1,2.3,4.6,26.8,14.0,1.4,3.5,1.0,0.9
MATINYANI,"11,497",60.7,3.4,25.7,3.1,4.7,23.3,14.9,2.8,3.9,0.6,0.8
MIGWANI,"18,843",65.2,3.6,25.9,4.1,7.2,36.2,16.2,2.3,5.2,0.9,0.4
MUMONI,"6,451",47.9,2.1,12.2,2.2,3.4,11.5,12.6,0.8,2.6,0.6,0.4
MUTITU,"11,490",55.4,1.5,9.3,1.2,3.3,13.3,10.9,1.0,2.1,0.5,0.7
MUTITU NORTH,"4,929",57.2,2.5,13.1,3.0,3.4,26.2,15.1,2.0,2.6,0.4,0.7
MUTOMO,"23,034",52.1,2.5,10.4,1.9,5.5,24.3,13.0,1.0,2.1,0.6,0.5
MWINGI CENTRAL,"26,745",54.1,4.5,24.7,3.7,8.0,17.6,13.2,3.7,4.6,0.8,0.5
MWINGI EAST,"18,725",50.7,1.8,11.0,1.5,4.6,16.6,11.7,1.2,2.4,0.7,0.5
NZAMBANI,"11,276",55.4,4.0,22.0,3.4,5.7,16.1,11.0,3.9,4.2,0.7,0.5
THAGICU,"3,289",54.8,1.2,8.2,1.3,3.6,9.1,13.5,0.3,1.6,0.3,0.2
TSEIKURU,"8,449",42.8,1.3,9.1,1.5,2.5,17.0,11.2,1.0,1.9,0.4,0.4
MACHAKOS,"399,523",63.1,9.4,42.6,5.3,17.6,19.7,9.8,9.4,8.7,1.1,0.5
ATHI RIVER,"109,723",57.7,20.0,61.4,7.3,35.7,15.8,7.0,21.5,16.6,1.6,0.6
KALAMA,"14,137",72.1,3.1,29.4,4.6,7.2,9.4,7.3,3.0,4.7,1.2,0.4
KANGUNDO,"26,115",68.6,4.1,38.0,5.5,8.5,18.5,11.5,4.3,5.3,0.9,0.2
KATHIANI,"28,730",63.4,3.4,31.7,4.6,6.6,9.1,7.6,2.7,4.1,0.7,0.3
MACHAKOS,"50,753",56.5,12.4,53.8,5.7,24.1,12.0,7.5,11.5,8.8,1.1,0.7
MASINGA,"36,196",65.7,3.1,26.1,3.9,5.7,27.3,14.0,1.8,4.5,1.0,0.7
MATUNGULU,"44,399",63.2,6.5,43.5,6.1,12.9,25.9,12.7,7.1,7.1,1.2,0.3
MWALA,"45,809",70.3,2.9,24.4,3.1,7.3,25.7,10.4,2.3,4.8,0.7,0.4
YATTA,"43,661",68.3,3.3,28.6,3.2,6.5,31.0,13.3,2.4,4.2,0.9,0.5
MAKUENI,"243,979",62.7,4.0,24.5,4.0,9.4,29.9,14.2,2.5,4.5,0.9,0.4
KATHONZWENI,"18,362",64.3,2.6,16.7,2.0,6.4,39.2,16.1,0.8,4.2,0.7,0.4
KIBWEZI,"47,594",59.2,3.6,24.9,4.3,8.7,52.1,17.5,2.6,4.0,0.8,0.6
KILUNGU,"14,563",63.8,3.3,23.0,3.5,6.7,8.2,8.9,1.5,3.7,0.7,0.3
MAKINDU,"21,662",56.8,4.6,29.8,4.6,10.6,52.5,18.9,4.2,4.5,1.0,0.6
MAKUENI,"34,352",63.6,7.1,29.8,4.8,16.7,20.0,12.7,4.0,6.5,0.9,0.4
MBOONI EAST,"23,724",67.4,2.9,18.2,3.0,5.5,23.6,12.6,1.3,4.3,0.7,0.3
MBOONI WEST,"24,807",65.9,3.1,22.2,3.5,7.8,10.3,9.6,1.4,3.9,0.7,0.3
MUKAA,"28,109",63.3,3.9,26.7,4.5,8.0,16.1,12.2,3.1,5.0,1.1,0.4
NZAUI,"30,806",63.4,3.8,24.0,4.1,10.3,29.0,15.8,2.2,4.1,0.9,0.5
NYANDARUA,"178,224",72.4,4.6,48.9,5.2,12.4,20.3,11.2,2.2,5.4,1.2,0.3
KINANGOP,"30,847",74.2,3.9,51.3,5.2,11.3,23.8,10.7,1.4,5.4,1.8,0.2
NYANDARUA SOUTH,"25,650",75.0,4.8,51.8,5.2,11.9,25.0,11.0,1.8,5.8,1.3,0.3
MIRANGINE,"17,880",74.6,2.5,43.1,4.0,7.0,12.3,11.2,1.1,3.5,0.7,0.2
KIPIPIRI,"25,077",74.3,2.7,41.4,6.0,6.9,17.9,9.4,1.0,4.1,1.0,0.3
NYANDARUA CENTRAI.,"21,852",68.6,7.4,51.9,4.7,17.0,18.9,11.4,4.4,6.7,1.1,0.3
NYANDARUA WEST,"29,003",63.7,6.0,52.7,4.6,16.7,19.0,11.6,3.3,6.3,0.9,0.4
NYANDARUA NORTH,"27,906",76.7,4.5,47.6,6.0,14.3,22.1,13.2,2.3,5.6,1.0,0.2
ABERDARE NATIONAL,AR K    9,88.9,44.4,66.7,11.1,88.9,33.3,22.2,11.1,33.3,,
NYERI,"244,564",74.3,8.6,59.5,5.5,21.2,11.7,8.8,7.2,7.7,1.0,0.3
TETU,"24,122",78.0,5.4,62.7,6.0,16.8,9.9,7.7,5.7,6.8,0.7,0.3
KIENI EAST,"36,751",72.3,7.3,56.4,7.3,21.2,18.1,12.3,5.8,8.0,1.2,0.4
KIENI WEST,"27,530",77.2,4.2,48.0,6.1,11.4,7.5,10.0,2.7,5.9,1.0,0.3
MATHIRA EAST,"33,945",74.4,9.5,61.3,5.0,22.2,13.5,8.8,7.0,7.1,0.9,0.3
MATHIRA WEST,"18,892",72.8,5.4,59.2,6.7,16.2,15.5,8.5,5.9,6.9,0.9,0.3
NYERI SOUTH,"28,103",75.0,5.9,62.5,3.7,16.6,6.7,9.8,5.4,6.1,0.6,0.3
MUKURWE-INI,"27,036",75.9,4.8,52.1,3.8,13.2,8.9,8.3,3.9,5.6,0.7,0.4
NYERI CENTRAL,"48,036",71.7,18.0,68.1,5.4,37.4,11.9,5.7,15.4,11.7,1.2,0.3
MT. KENYA FOREST,101,73.3,8.9,28.7,3.0,33.7,3.0,6.9,1.0,5.0,,
ABERDARE FOREST,48,64.6,20.8,68.8,,,,2.1,,4.2,,
KIRINYAGA,"203,576",66.6,5.9,54.0,4.9,13.6,21.1,14.6,5.5,6.0,0.9,0.5
KIRINYAGA CENTRAL,"40,149",69.6,9.1,61.0,5.1,20.7,16.6,13.2,7.8,8.4,1.0,0.5
KIRINYAGA EAST,"44,509",68.9,4.9,54.6,5.6,10.9,15.1,14.5,4.2,6.7,0.9,0.4
KIRINYAGA WEST,"37,951",67.6,6.0,53.0,4.7,14.3,18.2,13.1,5.6,5.7,0.9,0.4
MWEA EAST,"46,331",62.0,5.7,50.7,4.0,12.6,23.7,15.2,5.9,5.2,0.9,0.4
MWEA WEST,"34,613",65.2,3.9,50.7,5.4,9.1,34.0,17.5,3.8,3.9,0.8,0.6
MT. KENYA FOREST,23,73.9,17.4,30.4,4.3,26.1,4.3,13.0,,8.7,,
MURANG'A,"317,496",70.7,4.9,47.9,3.2,11.9,12.1,8.5,4.7,5.0,0.9,0.3
MURANG'A EAST,"34,650",69.7,9.8,50.6,3.7,21.7,11.1,7.8,10.0,7.1,1.1,0.4
KANGEMA,"25,283",75.0,3.4,46.1,3.0,9.6,3.2,6.0,2.7,3.9,0.5,0.3
MATHIOYA,"28,372",72.0,3.4,45.2,2.7,8.0,4.1,6.4,3.0,4.3,0.6,0.3
KAHURO,"26,778",75.1,3.2,45.5,2.8,10.4,4.2,5.9,3.4,3.8,0.8,0.2
MURANG'A SOUTH,"55,878",69.7,6.0,47.7,3.8,14.1,21.9,11.5,6.0,5.6,0.9,0.3
GATANGA,"55,340",67.9,5.2,49.6,3.4,13.4,16.4,9.4,5.1,6.1,1.2,0.3
KIGUMO,"40,528",72.1,3.0,43.8,2.6,7.4,7.0,7.6,2.3,4.2,0.7,0.3
KANDARA,"50,657",69.2,3.7,51.4,3.3,9.1,14.3,9.1,4.0,4.2,1.0,0.3
ABERDARE FOREST,10,70.0,20.0,40.0,,,10.0,,10.0,,,
KIAMBU,"792,333",61.4,19.6,70.0,6.3,39.1,16.3,6.9,19.6,12.4,1.5,0.5
GATUNDU NORTH,"31,452",70.6,4.7,61.9,3.7,12.8,10.9,8.8,5.2,6.3,1.3,0.3
GATUNDU SOUTH,"35,577",72.3,4.8,67.9,4.3,12.1,13.7,9.8,6.2,6.5,1.1,0.3
GITHUNGURI,"49,414",68.2,7.3,68.6,3.6,18.7,16.9,8.7,9.3,8.5,1.6,0.3
JUJA,"104,042",53.0,23.9,67.4,6.7,44.8,20.5,8.8,20.3,13.5,1.6,0.6
KABETE,"66,681",64.3,23.7,74.0,6.0,45.2,14.2,4.8,24.4,12.7,1.3,0.3
KIAMBAA,"80,316",61.8,22.1,71.0,7.2,42.1,13.1,4.4,24.5,13.1,1.2,0.5
KIAMBU,"46,816",61.2,28.4,73.8,7.0,49.7,19.2,5.0,32.2,21.1,2.3,0.5
KIKUYU,"60,619",69.3,27.2,75.8,7.5,46.8,19.2,7.0,29.1,17.3,1.7,0.4
LARI,"38,585",67.6,6.4,62.8,3.9,16.9,12.1,9.1,5.4,6.9,1.4,0.3
LIMURU,"49,096",69.0,12.6,67.9,5.1,29.2,14.1,6.5,12.7,9.8,1.4,0.4
RUIRU,"127,910",53.8,24.6,73.3,7.9,49.9,16.8,6.1,23.3,14.0,1.6,0.6
THIKA EAST,"12,736",51.4,8.5,54.4,4.5,23.7,20.7,9.9,10.1,8.0,1.3,0.4
THIKA WEST,"89,089",57.1,21.5,69.3,7.1,48.0,17.1,6.2,19.5,11.5,1.4,0.9
TURKANA,"162,627",12.1,2.1,7.4,0.9,4.4,4.2,4.8,1.9,1.3,0.4,0.4
KIBISH,"5,699",3.1,0.5,1.2,0.4,0.8,0.4,1.3,0.1,0.4,0.2,0.4
LOIMA,"19,139",7.2,0.5,1.6,0.4,0.9,3.2,3.5,0.2,0.5,0.3,0.3
TURKANA CENTRAL,"37,917",23.9,4.9,17.6,1.5,8.4,5.2,9.4,6.0,3.1,0.6,0.3
TURKANA EAST,"17,887",13.6,0.9,3.4,0.4,1.4,3.3,2.7,0.6,0.7,0.3,0.3
TURKANA NORTH,"12,964",4.9,0.7,1.9,0.3,1.8,1.2,1.7,0.4,0.4,0.4,0.2
TURKANA SOUTH,"24,281",10.9,1.7,5.9,0.7,4.0,5.8,5.8,0.9,1.1,0.5,0.4
TURKANA WEST,"44,740",7.5,1.7,6.0,1.2,5.1,4.6,3.1,0.8,0.9,0.5,0.6
WEST POKOT,"115,761",33.8,1.4,9.7,1.0,3.5,3.2,5.8,0.6,1.6,0.4,0.3
KIPKOMO,"18,367",38.6,1.1,8.6,0.8,3.3,2.3,5.8,0.5,1.5,0.4,0.2
POKOT CENTRAL,"21,784",21.8,0.4,2.5,0.3,1.5,1.0,3.1,0.1,0.6,0.2,0.3
POKOT NORTH,"25,736",18.6,0.6,2.9,0.5,2.0,4.2,5.6,0.1,0.6,0.3,0.3
POKOT SOUTH,"13,752",55.5,0.5,6.8,0.7,2.5,0.8,4.3,0.1,1.2,0.3,0.2
WEST POKOT,"36,122",41.1,3.1,20.6,1.9,6.4,5.4,8.1,1.6,3.1,0.6,0.3
SAMBURU,"63,951",29.4,3.2,13.5,1.7,6.8,5.1,6.5,1.8,2.6,0.6,0.4
SAMBURU CENTRAL,"33,720",41.8,4.4,18.8,2.7,9.1,7.4,8.4,2.5,3.7,0.7,0.3
SAMBURU EAST,"17,307",17.3,2.2,9.1,0.7,5.2,2.5,5.2,1.4,1.7,0.4,0.4
SAMBURU NORTH,"12,924",13.1,1.2,5.6,0.5,2.8,2.4,3.6,0.5,1.1,0.3,0.4
TRANS NZOIA,"222,989",57.3,4.9,34.3,4.2,11.0,20.6,12.7,3.7,4.9,0.9,0.4
TRANS NZOIA WEST,"47,576",52.5,5.1,36.4,3.8,13.7,14.6,10.3,3.4,3.8,0.7,0.3
TRANS NZOIA EAST,"49,955",60.7,3.2,28.9,3.9,6.1,18.8,12.8,1.9,4.5,0.8,0.3
KWANZA,"45,599",60.1,4.4,34.6,4.1,10.5,25.0,14.5,3.3,4.3,0.9,0.3
ENDEBESS,"23,246",46.5,1.6,18.2,3.1,4.6,14.8,11.6,0.7,1.7,0.5,0.3
KIMININI,"56,613",60.7,8.1,43.5,5.4,16.0,26.2,13.6,6.9,7.8,1.1,0.6
UASIN GISHU,"301,110",60.1,10.1,47.3,5.3,20.4,18.2,10.4,8.3,8.5,1.2,0.3
AINABKOI,"34,862",64.9,12.4,48.8,5.5,22.0,16.0,9.8,11.9,11.5,1.6,0.3
KAPSERET,"59,678",57.7,14.6,55.0,6.0,28.2,18.3,8.8,11.7,10.7,1.3,0.4
KESSES,"34,623",63.0,7.7,37.2,3.5,14.5,13.6,9.7,4.7,7.2,1.0,0.3
MOIBEN,"46,602",63.0,11.5,48.2,5.0,21.4,17.8,11.3,8.2,9.3,1.3,0.4
SOY,"53,758",57.6,5.2,38.0,4.5,11.5,23.8,13.2,3.7,5.9,1.1,0.3
TURBO,"71,587",58.3,9.1,51.4,6.1,21.7,17.6,9.7,9.0,7.3,1.0,0.3
ELGEYO/MARAKWET,"99,119",52.7,2.0,17.5,1.8,5.0,3.7,6.9,1.1,3.1,0.7,0.3
KEIYO NORTH,"21,749",55.5,4.3,28.8,3.0,9.4,6.2,7.6,2.7,5.2,0.7,0.3
KEIYO SOUTH,"26,740",62.2,1.9,21.1,2.4,5.3,5.9,7.6,1.1,4.0,0.8,0.3
MARAKWET EAST,"21,123",34.5,0.7,5.1,0.5,2.0,0.5,3.9,0.3,1.2,0.3,0.2
MARAKWET WEST,"29,507",55.0,1.4,14.6,1.5,3.6,2.1,7.8,0.5,2.3,0.7,0.2
NANDI,"199,040",60.3,3.6,27.1,3.1,8.8,10.7,11.1,2.4,4.4,0.6,0.3
CHESUMEI,"39,011",63.0,5.5,35.7,3.5,12.5,15.2,11.8,3.9,6.2,0.7,0.3
NANDI CENTRAL,"34,247",60.7,4.9,33.5,3.6,11.2,11.9,11.7,3.7,5.3,0.7,0.3
NANDI EAST,"29,249",62.0,3.6,26.6,2.9,10.7,5.9,9.4,2.3,4.2,0.6,0.2
NANDI NORTH,"35,257",58.7,2.3,23.6,3.6,6.3,15.9,14.1,1.2,4.1,0.6,0.3
NANDI SOUTH,"37,038",59.6,2.4,23.4,2.5,5.4,8.2,10.0,1.6,3.3,0.4,0.3
TINDERET,"24,238",57.0,2.0,15.7,1.7,6.0,4.2,8.3,0.9,2.2,0.3,0.2
BARINGO,"141,877",51.8,3.2,23.0,2.9,8.2,7.1,8.2,1.9,4.1,0.6,0.3
BARINGO CENTRAL,"23,523",62.2,6.1,33.2,4.4,13.9,3.8,6.3,3.7,6.7,0.7,0.2
BARINGO NORTH,"23,345",53.9,1.8,16.1,2.2,4.3,3.5,5.9,0.8,2.7,0.3,0.2
EAST POKOT,"14,392",14.3,1.0,3.1,0.6,2.1,1.8,3.5,0.3,0.7,0.5,0.5
KOIBATEK,"30,752",65.5,4.7,39.0,5.1,13.3,6.4,8.5,3.1,6.5,0.9,0.3
MARIGAT,"19,658",53.1,2.1,18.4,1.9,6.8,8.0,11.0,1.2,2.3,0.4,0.3
