"Data Source","World Development Indicators",

"Last Updated Date","2020-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.402819292924976","0.487686262693032","0.379800304581339","0.323576197641919","0.598264391416967","1.58652611431531","1.93817780133484","3.31844318968037","4.37308774385413","4.38145622949794","3.33307827727419","2.98441769855143","",
"Angola","AGO","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.40329262642225","8.14225193354984","10.6810543679173","6.14999077755878","5.12158487871156","8.14934014088936","12.1395411261031","18.4285806878618","19.2277310187677","41.4158731120765","27.0481920485971","20.9294376480718","33.1233201608334","16.9555400041441","15.3126627744484","13.6295012767287","10.7533999184629","13.2227389393688","9.91623827586791","2.52181001129159","9.67457289595911","5.73317578478059","5.79379614998649","8.37197506847843","9.63601614966096","14.0721810660482","22.6918954750801","34.8839464069877","29.1111071008428","20.5882078779231","26.7874372431497","",
"Albania","ALB","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.29887168674699","2.17526038751346","3.17620015741834","6.63578141560799","2.772776816609","4.65987367498905","15.0161974748103","9.59910407706093","5.3943900631579","4.47813553102625","4.82402747654441","7.4566071862162","5.49953047234335","5.23006115227209","6.21661566608379","8.22934498207676","6.16952039106407","6.73437510304431","7.10165933338233","10.2759278074857","11.8316386968478","14.2378721737508","13.5497566938397","17.5349642341985","33.5242072205048","15.1681334592698","11.1409585241152","20.6974782535194","12.3028427712693","",
"Andorra","AND","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","34.9000521296099","27.7785756871475","42.5362952246044","23.0106973598225","38.0376645349045","45.8449715332486","50.1737940369041","69.8969149006555","63.6145739792108","60.3268647090716","83.1337160886777","74.53339165596","44.5025369832747","36.4296624323202","37.1369717401225","33.7793151921646","27.6728453974767","31.111797850622","25.2915464677409","30.3130677188758","39.4412588849976","44.1745242902654","51.8036326705337","74.2848592212609","64.2823867302192","49.5813145440098","16.5973754896215","38.2912710004567","29.6758736713401","19.7246312637172","31.5113305616053","12.1114711135311","11.000620925218","21.1725855859086","18.6426233354966","15.6550627866212","14.0601320892901","17.144794973003","20.1697253607257","24.733642858859","34.9283398192354","51.1716558096869","41.4553212016728","46.5447159422551","",
"Armenia","ARM","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.15348849945235","1.93877045672867","3.15209367385766","9.53574124845219","5.05529476771251","13.2804008315777","13.1730489261958","8.66941155049343","8.41084805331266","9.34720789387768","10.8245440530296","11.4108499984776","7.31949641201404","6.7329552908316","6.66834101867827","11.9873180212173","17.4053324506715","29.7387367053874","24.5841466412015","29.1536221721607","46.3736358587108","31.6996262271868","38.4270953775126","33.1048496686526","26.4180845119003","28.6594052904669","31.5020230577383","",
"American Samoa","ASM","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
