Company,Dividend,Announce Date,Book Closure Date,Payment Date
Nairobi Securities Exchange Plc,0.40,,03-Jun-2022,
Nairobi Securities Exchange Plc,0.50,,03-Jun-2022,
Umeme Ltd,,,24-Jun-2022,
Diamond Trust Bank Kenya Ltd,3.00,,,
NCBA Group Plc,2.25,,29-Apr-2022,
Kakuzi Plc,22.00,,31-May-2022,
Equity Group Holdings Plc,3.00,,20-May-2022,
The Co-operative Bank of Kenya Ltd,1.00,,30-May-2022,
KCB Group Plc,2.00,,25-Apr-2022,
ABSA Bank Kenya Plc,1.10,,25-Apr-2022,
Standard Chartered Bank Kenya Ltd,14.00,,27-Apr-2022,
Stanbic Holdings Plc,7.30,03-Mar-2022,20-May-2022,
Safaricom Plc,0.64,25-Feb-2022,17-Mar-2022,
British American Tobacco Kenya Plc,50.00,18-Feb-2022,22-Apr-2022,
Sasini Plc,0.50,11-Jan-2022,,
Car & General (K) Ltd,3.20,06-Jan-2022,,
Car & General (K) Ltd,,06-Jan-2022,24-Mar-2022,
KenGen Co. Plc,0.30,01-Nov-2021,,
